Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,78,78.89,78,78.83,1367200,78.66
30-Dec-13,76.98,77.81,76.94,77.7,1071200,77.54
27-Dec-13,76.92,77.06,76.44,76.9,643800,76.74
26-Dec-13,76.57,77.08,76.1,76.95,706400,76.79
24-Dec-13,76,76.58,76,76.53,411500,76.37
23-Dec-13,76.03,76.79,75.78,76.1,1064400,75.8
20-Dec-13,75.39,76.41,75.13,75.73,1728700,75.43
19-Dec-13,74.78,75.31,74.16,75.22,1260000,74.92
18-Dec-13,73.12,74.82,72.73,74.8,1081400,74.51
17-Dec-13,73.88,73.95,72.85,73.16,808700,72.87
16-Dec-13,72.8,73.89,72.73,73.66,1110800,73.37
13-Dec-13,72.21,72.56,71.67,72.36,1067200,72.08
12-Dec-13,72.1,72.57,71.97,72.09,1485900,71.81
11-Dec-13,72.07,72.91,71.81,72.2,2983600,71.92
10-Dec-13,71.72,72.21,71.58,72.08,1212500,71.8
9-Dec-13,71.21,72.03,71.06,71.82,1301800,71.54
6-Dec-13,70.54,70.95,70.04,70.94,867800,70.66
5-Dec-13,69.45,69.96,69.12,69.61,971600,69.34
4-Dec-13,69.95,70.47,68.79,69.43,1746000,69.16
3-Dec-13,70.57,70.94,70.08,70.62,975100,70.34
2-Dec-13,71.53,72.17,70.54,70.67,997300,70.39
29-Nov-13,71.34,72.11,71.28,71.38,568500,71.1
27-Nov-13,71.71,71.91,70.87,71.27,664100,70.99
26-Nov-13,71.81,71.93,71.1,71.73,1063800,71.45
25-Nov-13,72.15,73.04,71.27,71.84,1034400,71.56
22-Nov-13,70.63,71.06,70.19,71,809100,70.72
21-Nov-13,69.96,70.9,69.67,70.73,899300,70.45
20-Nov-13,70.12,70.88,69.37,69.66,945000,69.39
19-Nov-13,70.69,70.85,69.5,69.68,916100,69.41
18-Nov-13,71.75,71.94,70.24,70.6,683800,70.32
15-Nov-13,71.27,71.5,70.69,71.26,683000,70.98
14-Nov-13,71.13,71.56,70.63,71.3,729200,71.02
13-Nov-13,69.8,71.07,69.67,71.06,1334800,70.78
12-Nov-13,70.4,70.71,70.01,70.19,866700,69.91
11-Nov-13,69.67,70.45,69.4,70.41,826500,70.13
8-Nov-13,68.69,69.59,68.4,69.58,1282500,69.31
7-Nov-13,70.14,70.73,68.25,68.45,884300,68.18
6-Nov-13,70.55,70.91,69.62,69.97,693800,69.69
5-Nov-13,70.25,70.78,69.43,70.3,1246300,70.02
4-Nov-13,70.02,70.49,69.79,70.46,878100,70.18
1-Nov-13,69.73,69.89,68.58,69.65,958800,69.38
31-Oct-13,69.68,69.95,69.02,69.47,993200,69.2
30-Oct-13,70.77,70.92,69.46,69.65,877100,69.38
29-Oct-13,69.92,70.87,69.75,70.73,1291600,70.45
28-Oct-13,71.34,71.45,69.26,69.78,2268600,69.51
25-Oct-13,66.59,71.49,65.82,71.22,4119600,70.94
24-Oct-13,63.7,64.1,63.24,63.49,1966300,63.24
23-Oct-13,63.9,64.09,63.21,63.72,1217700,63.47
22-Oct-13,64.47,64.88,63.98,64.26,865100,64.01
21-Oct-13,64.4,64.63,63.68,64.11,984300,63.86
18-Oct-13,64.06,64.33,63.59,64.28,766600,64.03
17-Oct-13,62.61,63.52,62.42,63.5,925600,63.25
16-Oct-13,63.28,63.28,62.16,62.74,1205500,62.49
15-Oct-13,63.28,63.28,62.09,62.41,841100,62.16
14-Oct-13,62.47,63.44,62.34,63.41,913100,63.16
11-Oct-13,61.83,62.88,61.77,62.87,1153000,62.62
10-Oct-13,61.04,62.06,61.01,62.04,932100,61.8
9-Oct-13,60.4,60.71,59.86,60.36,1145700,60.12
8-Oct-13,61.01,61.42,60.12,60.29,981300,60.05
7-Oct-13,61.09,61.32,60.84,60.97,834600,60.73
4-Oct-13,61.42,61.92,61.18,61.71,756500,61.47
3-Oct-13,61.62,62.01,60.79,61.45,980600,61.21
2-Oct-13,62.13,62.2,61.32,61.84,1153700,61.6
1-Oct-13,62.25,63.01,62.25,62.45,904100,62.2
30-Sep-13,61.39,62.44,61.27,62.39,1227400,62.14
27-Sep-13,62.17,62.45,61.84,62.16,620500,61.92
26-Sep-13,62.16,62.64,62.15,62.56,575100,62.31
25-Sep-13,62.73,62.93,62.07,62.11,1051800,61.87
24-Sep-13,62.59,63.17,62.36,62.79,1029300,62.4
23-Sep-13,62.8,63.03,61.85,62.54,920100,62.16
20-Sep-13,63.64,63.7,62.73,63.07,1768200,62.68
19-Sep-13,62.94,63.5,62.84,63.28,1203800,62.89
18-Sep-13,61.52,62.75,60.98,62.59,959600,62.2
17-Sep-13,61.45,61.75,61.32,61.55,688000,61.17
16-Sep-13,61.84,62.2,61.28,61.45,1087100,61.07
13-Sep-13,61.61,61.61,60.94,61,906100,60.62
12-Sep-13,61.12,61.71,60.85,61.45,1102800,61.07
11-Sep-13,61.2,61.54,60.78,60.97,1060600,60.59
10-Sep-13,60.05,61.3,59.88,61.23,1419900,60.85
9-Sep-13,59.28,59.82,59.28,59.67,892100,59.3
6-Sep-13,58.41,59.86,57.91,59.07,1787900,58.71
5-Sep-13,57.86,58.82,57.78,58.23,1457300,57.87
4-Sep-13,56.46,57.97,56.4,57.9,1258200,57.54
3-Sep-13,56.62,56.97,55.98,56.48,1145200,56.13
30-Aug-13,56.59,56.65,55.64,55.79,846800,55.45
29-Aug-13,56.19,56.9,56.19,56.52,421900,56.17
28-Aug-13,55.93,56.56,55.66,56.4,716100,56.05
27-Aug-13,56.56,56.86,55.8,56.03,885900,55.69
26-Aug-13,57.39,57.6,57,57.18,490000,56.83
23-Aug-13,57.54,57.59,57.12,57.33,610000,56.98
22-Aug-13,56.37,57.56,56.33,57.45,610200,57.1
21-Aug-13,56.46,56.7,56.04,56.24,595400,55.89
20-Aug-13,56.02,56.71,55.85,56.65,785300,56.3
19-Aug-13,56.34,56.7,55.93,56.03,722500,55.69
16-Aug-13,56.19,56.78,56.11,56.6,947000,56.25
15-Aug-13,56.52,56.72,56.21,56.31,1531600,55.96
14-Aug-13,57.37,57.47,56.95,57.16,1080200,56.81
13-Aug-13,57,57.55,56.58,57.44,1021900,57.09
12-Aug-13,56.54,57.02,56.47,57,922400,56.65
9-Aug-13,56.22,56.81,55.99,56.75,989700,56.4
8-Aug-13,56.18,56.37,55.69,56.29,1108700,55.94
7-Aug-13,56.31,56.44,55.79,55.98,1268400,55.64
6-Aug-13,57.01,57.01,56.08,56.47,1218000,56.12
5-Aug-13,57.12,57.29,56.64,56.9,683900,56.55
2-Aug-13,57.95,58.01,56.98,57.26,1355400,56.91
1-Aug-13,57.33,58.25,57.04,58.09,1002300,57.73
31-Jul-13,56.84,57.2,56.6,56.68,1052400,56.33
30-Jul-13,56.6,56.94,56.28,56.74,667900,56.39
29-Jul-13,56.53,56.83,56.17,56.36,903200,56.01
26-Jul-13,56.93,57.11,56.48,56.82,1247500,56.47
25-Jul-13,56.16,57.53,55.95,57.38,2729600,57.03
24-Jul-13,56.95,57.15,55.77,56.05,1650700,55.71
23-Jul-13,57.46,57.47,56.73,56.95,2263600,56.6
22-Jul-13,57.35,57.94,57.16,57.35,1852400,57
19-Jul-13,56.81,57.37,56.54,57.35,1912500,57
18-Jul-13,56,56.96,55.81,56.74,1573100,56.39
17-Jul-13,55.46,55.83,55.13,55.81,1588000,55.47
16-Jul-13,55.4,55.45,54.59,55.18,1235200,54.84
15-Jul-13,55.54,55.74,55.04,55.29,961400,54.95
12-Jul-13,55.94,56.08,55.22,55.51,1454300,55.17
11-Jul-13,56.48,56.48,55.31,55.94,1050900,55.6
10-Jul-13,55.68,55.85,55.21,55.57,783200,55.23
9-Jul-13,55.58,56.07,55.47,55.75,992700,55.41
8-Jul-13,55.59,55.79,54.94,55.03,1069200,54.69
5-Jul-13,54.86,55.41,54.36,55.36,875100,55.02
3-Jul-13,54.14,54.55,53.96,54.2,650700,53.87
2-Jul-13,54.57,54.73,54.1,54.33,1009200,54
1-Jul-13,54.35,55.12,54.15,54.6,671800,54.26
28-Jun-13,54.25,54.52,53.8,54.01,1071500,53.68
27-Jun-13,54.24,54.75,54.18,54.52,815800,54.05
26-Jun-13,53.59,54.17,53.49,53.95,1412900,53.48
25-Jun-13,53.3,53.3,52.45,52.8,1611000,52.34
24-Jun-13,52.7,52.9,50.9,52.05,1532000,51.6
21-Jun-13,161.63,161.98,157.19,159.31,2274600,52.64
20-Jun-13,162,162.8,159.77,160.19,970500,52.93
19-Jun-13,166.1,166.69,164.01,164.02,584700,54.2
18-Jun-13,165.08,166.49,164.41,165.97,552600,54.84
17-Jun-13,166.4,167.52,163.35,164.73,1174500,54.43
14-Jun-13,165.78,166.87,164.14,165.65,755100,54.74
13-Jun-13,164.05,166.53,162.84,165.96,714600,54.84
12-Jun-13,166.92,167.22,163.64,163.95,513000,54.17
11-Jun-13,165,167.06,163.4,165.04,912300,54.53
10-Jun-13,168.62,169.37,167.37,168.43,548700,55.65
7-Jun-13,166.17,168.92,165.96,168.07,959700,55.54
6-Jun-13,161.85,165,161.85,165,640200,54.52
5-Jun-13,166.71,166.89,162.26,162.5,1150500,53.7
4-Jun-13,166.92,169.69,165.83,166.84,811200,55.13
3-Jun-13,168.6,169,163.96,166.98,1215300,55.18
31-May-13,168.27,171.09,167.98,168.13,1220400,55.56
30-May-13,168.17,170.01,167.11,169.19,561600,55.91
29-May-13,167.24,169.04,167.16,167.67,745500,55.4
28-May-13,168.8,171.51,167.79,169.22,744900,55.92
24-May-13,167.01,167.37,164.76,166.84,621600,55.13
23-May-13,166.69,168.97,166.23,167.93,596100,55.49
22-May-13,171.85,172.53,167.4,168.57,1393200,55.7
21-May-13,171.13,173.29,170.96,171.89,1124400,56.8
20-May-13,169.54,172.66,169.22,171.11,814200,56.54
17-May-13,166.48,170.08,166.33,169.9,786000,56.14
16-May-13,165.99,169.51,165.24,166.55,1161000,55.03
15-May-13,165,166.28,163.25,166.27,864900,54.94
14-May-13,162.07,165.52,162.07,164.86,991500,54.48
13-May-13,161.88,162.31,160.73,162.12,559800,53.57
10-May-13,161.53,162.72,160.06,162.24,827400,53.61
9-May-13,162.73,163.66,160.83,161.19,975900,53.26
8-May-13,161.15,163,160.8,162.73,676500,53.77
7-May-13,159.3,161.57,158.61,161.45,891900,53.35
6-May-13,158.34,159.34,158.02,158.8,820200,52.47
3-May-13,154.3,161.19,154.3,158.67,1594500,52.43
2-May-13,151.5,154.48,150.01,154.24,1863900,50.97
1-May-13,156.92,156.92,151.25,151.32,1851900,50
