Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,75.42,75.6,74.92,75.46,454700,75.31
30-Dec-13,75.45,75.56,74.76,75.25,508300,75.1
27-Dec-13,75.07,75.68,75.02,75.46,582400,75.31
26-Dec-13,74.78,75.5,74.04,75.4,555700,75.12
24-Dec-13,73.8,74.52,73.33,74.46,225800,74.18
23-Dec-13,73.26,73.58,72.99,73.45,810400,73.17
20-Dec-13,72.96,73.63,72.82,73.04,1976600,72.77
19-Dec-13,72.71,73.17,72.49,73.02,1530000,72.75
18-Dec-13,72.81,73.06,71.91,72.72,1788600,72.45
17-Dec-13,72.65,73.32,72.53,73.05,754400,72.78
16-Dec-13,73.46,73.95,72.79,72.82,1246100,72.55
13-Dec-13,73.42,74.01,73.22,73.31,734200,73.04
12-Dec-13,73.94,73.95,73.29,73.44,657600,73.16
11-Dec-13,75.08,75.19,73.88,74.19,887400,73.91
10-Dec-13,74.82,75.53,74.63,75.06,951000,74.78
9-Dec-13,74.38,74.86,74.38,74.85,540500,74.57
6-Dec-13,73.87,74.4,73.44,74.4,702100,74.12
5-Dec-13,72.68,73.47,72.51,73.13,804900,72.86
4-Dec-13,72.27,73.24,71.93,72.94,1369800,72.67
3-Dec-13,72.29,72.82,71.72,72.4,798000,72.13
2-Dec-13,72.89,73.45,72.7,72.81,551100,72.54
29-Nov-13,73.01,73.41,72.77,72.86,262500,72.59
27-Nov-13,72.6,73.31,72.47,72.99,667800,72.72
26-Nov-13,72.49,72.98,72.45,72.63,551800,72.36
25-Nov-13,73.03,73.14,72.15,72.39,604200,72.12
22-Nov-13,72.9,73.34,72.74,72.92,1067700,72.65
21-Nov-13,72.92,73.08,72.65,72.78,553300,72.51
20-Nov-13,73.55,73.76,72.54,72.65,437400,72.38
19-Nov-13,73.83,74.01,73.33,73.51,510200,73.23
18-Nov-13,75.09,75.33,73.66,73.85,653500,73.57
15-Nov-13,73.91,75.12,73.91,75.1,579400,74.82
14-Nov-13,73.75,74.06,73.47,73.84,396000,73.56
13-Nov-13,72.37,73.56,72.29,73.54,532400,73.26
12-Nov-13,72.63,72.95,72.34,72.57,544700,72.3
11-Nov-13,73.36,73.52,72.93,73,314300,72.73
8-Nov-13,72.15,73.43,71.79,73.42,689600,73.14
7-Nov-13,73.07,73.38,71.99,72.16,898000,71.89
6-Nov-13,72.98,73.37,72.77,73.04,412100,72.77
5-Nov-13,72.66,72.95,72.17,72.84,577200,72.57
4-Nov-13,72.79,73.38,72.18,72.85,790500,72.58
1-Nov-13,72.79,73.17,71.91,72.82,574000,72.55
31-Oct-13,73.06,73.79,72.72,72.76,747900,72.49
30-Oct-13,72.81,73.93,72.73,73.03,952000,72.76
29-Oct-13,73.39,73.39,71.18,73.25,1749800,72.98
28-Oct-13,74.18,74.42,73.5,73.52,645500,73.24
25-Oct-13,74.39,74.39,73.39,74.34,601400,74.06
24-Oct-13,74.11,74.57,73.75,74.39,340100,74.11
23-Oct-13,74.32,74.49,73.57,74.14,364200,73.86
22-Oct-13,73.37,74.56,73.37,74.51,632900,74.23
21-Oct-13,73.33,73.75,72.93,73.19,433700,72.92
18-Oct-13,73.56,73.62,73.13,73.41,593200,73.13
17-Oct-13,72.42,73.47,72.26,73.4,497100,73.12
16-Oct-13,72.37,72.94,72.17,72.59,627600,72.32
15-Oct-13,72,72.3,71.54,71.75,354400,71.48
14-Oct-13,71.76,72.37,71.65,72.18,426800,71.91
11-Oct-13,71.57,72.28,71.3,72.24,550700,71.97
10-Oct-13,71.28,72.02,71.08,71.69,626900,71.42
