Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,51.04,51.54,50.99,51.3,2792000,51.07
30-Dec-13,50.72,51.02,50.65,50.89,2389000,50.66
27-Dec-13,51.08,51.2,50.63,50.66,2946500,50.43
26-Dec-13,51.31,51.5,50.94,51.06,2125200,50.83
24-Dec-13,50.72,51.13,50.72,51.03,1244100,50.8
23-Dec-13,50.68,51.05,50.51,50.77,2384600,50.54
20-Dec-13,50.25,50.5,50.01,50.31,6652700,50.09
19-Dec-13,51.11,51.16,50.01,50.16,7186800,49.94
18-Dec-13,51.19,51.38,49.85,51.34,7974300,51.11
17-Dec-13,51.3,51.65,51.05,51.32,4361000,51.09
16-Dec-13,50.33,50.97,50.33,50.95,2956400,50.72
13-Dec-13,50.01,50.46,49.81,50,3030500,49.78
12-Dec-13,50.76,51.16,49.95,49.99,4898000,49.77
11-Dec-13,51.31,51.31,49.64,50.16,5154200,49.72
10-Dec-13,51.41,51.7,51.09,51.45,4380700,51
9-Dec-13,50.36,51.3,50.35,50.91,4370200,50.46
6-Dec-13,50.35,50.74,50.21,50.41,5594200,49.96
5-Dec-13,49.8,50.13,49.23,49.93,6164600,49.49
4-Dec-13,50.3,50.77,49.75,49.9,4945800,49.46
3-Dec-13,50.66,50.84,49.52,49.88,3395500,49.44
2-Dec-13,50.53,50.79,49.81,50.01,4169300,49.57
29-Nov-13,50.53,51,50.41,50.51,1712800,50.06
27-Nov-13,50.23,50.6,50.06,50.46,2515400,50.01
26-Nov-13,50.24,50.65,50.1,50.17,5331800,49.73
25-Nov-13,50.84,51.28,50.32,50.38,5059200,49.94
22-Nov-13,50.35,50.73,50.09,50.68,3465000,50.23
21-Nov-13,50.84,51.9,49.9,50.35,13614800,49.91
20-Nov-13,48.41,48.89,48.15,48.22,3905500,47.79
19-Nov-13,49.19,49.33,48.3,48.37,4916600,47.94
18-Nov-13,49.45,49.69,49.15,49.26,4335700,48.82
15-Nov-13,49.23,49.45,48.81,49.45,3554200,49.01
14-Nov-13,48.22,49.26,48.12,49.07,3995400,48.64
13-Nov-13,47.52,48.57,47.46,48.53,3487600,48.1
12-Nov-13,47.52,48.34,47.26,48,5229200,47.58
11-Nov-13,47.56,47.75,47.28,47.5,4054500,47.08
8-Nov-13,46.04,47.75,46.02,47.66,5492200,47.24
7-Nov-13,46.94,47.01,45.99,46.02,5287100,45.61
6-Nov-13,46.66,47.5,46.24,46.62,6524000,46.21
5-Nov-13,46.22,46.66,46.09,46.36,5285500,45.95
4-Nov-13,46.1,46.87,46,46.55,4264800,46.14
1-Nov-13,46.13,46.22,45.33,45.94,4563700,45.53
31-Oct-13,45.22,46.77,44.97,46.15,6729300,45.74
30-Oct-13,45.2,46.59,44.84,45.05,8043400,44.65
29-Oct-13,43.45,45.7,43.28,45.05,8954900,44.65
28-Oct-13,43.01,43.15,42.66,42.82,3414800,42.44
25-Oct-13,43.04,43.25,42.62,43.01,2105700,42.63
24-Oct-13,42.94,43.04,42.59,42.99,2612100,42.61
23-Oct-13,43.02,43.14,42.6,42.8,3004900,42.42
22-Oct-13,43.18,43.45,42.88,43.26,2410700,42.88
21-Oct-13,43.16,43.3,42.75,43.02,2474200,42.64
18-Oct-13,42.94,43.28,42.75,43.11,2700200,42.73
17-Oct-13,42.03,42.65,41.88,42.64,2831300,42.26
16-Oct-13,42.02,42.36,41.85,42.15,3738700,41.78
15-Oct-13,42.03,42.18,41.41,41.7,3379900,41.33
14-Oct-13,41.78,42.38,41.67,42.28,2351700,41.91
11-Oct-13,41.47,42.22,41.47,42.1,3146900,41.73
10-Oct-13,40.76,41.61,40.69,41.6,4492100,41.23
9-Oct-13,39.99,40.43,39.42,40.18,3983400,39.83
8-Oct-13,40.65,40.66,39.86,39.89,4306800,39.54
7-Oct-13,40.65,41.03,40.5,40.74,3953100,40.38
4-Oct-13,41.18,41.29,40.92,41.14,3086400,40.78
3-Oct-13,41.35,41.59,40.74,41.07,3639500,40.71
2-Oct-13,41.12,41.5,40.8,41.47,4326300,41.1
1-Oct-13,41.55,41.91,41.19,41.46,5355400,41.09
30-Sep-13,41.3,41.84,41.25,41.5,4828400,41.13
27-Sep-13,42.63,42.71,42.38,42.53,1583500,42.15
26-Sep-13,43.05,43.45,42.7,42.99,1640700,42.61
25-Sep-13,43.02,43.09,42.61,42.93,2646100,42.55
24-Sep-13,42.65,43.49,42.33,42.98,3277700,42.6
23-Sep-13,42.62,42.78,42.05,42.51,1977500,42.13
20-Sep-13,42.91,43.16,42.61,42.67,3230600,42.29
19-Sep-13,43.18,43.33,42.72,42.95,2579800,42.57
18-Sep-13,42.77,43.15,41.77,43.06,4640800,42.68
17-Sep-13,42.73,42.87,42.39,42.78,2063200,42.4
16-Sep-13,42.82,43,42.58,42.73,3510200,42.35
13-Sep-13,42.3,42.38,41.94,42.17,2891200,41.8
12-Sep-13,42.71,42.78,42.1,42.33,2240200,41.96
11-Sep-13,42.54,42.79,42.38,42.74,2524400,42.36
10-Sep-13,42,42.68,41.96,42.52,4651300,42.14
9-Sep-13,41.03,41.72,41.03,41.66,2650200,41.29
6-Sep-13,41.47,41.53,40.38,41.02,3147800,40.66
