Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,92.17,92.22,91.15,91.59,6348200,90.94
30-Dec-13,92.16,92.3,91.73,92.3,4370100,91.64
27-Dec-13,92.77,92.96,92.18,92.35,3511300,91.69
26-Dec-13,91.99,92.54,91.77,92.54,3459100,91.88
24-Dec-13,92.18,92.39,91.85,92.06,3147300,91.4
23-Dec-13,92.56,92.68,91.76,92.03,5312200,91.37
20-Dec-13,91.95,92.75,91.95,92.09,11265000,91.43
19-Dec-13,92.4,92.4,91.42,91.98,7341000,91.32
18-Dec-13,90.95,92.66,89.77,92.64,9691100,91.98
17-Dec-13,91.3,91.33,90.5,90.66,8794000,90.01
16-Dec-13,91.42,92.32,91.16,91.37,6623000,90.72
13-Dec-13,91.46,91.86,91.08,91.35,7909000,90.7
12-Dec-13,92.84,92.86,91.07,91.16,12285700,90.51
11-Dec-13,94.4,94.45,93.03,93.11,9424300,92.44
10-Dec-13,94.58,94.79,93.96,94.14,7576600,93.47
9-Dec-13,94.3,94.48,93.7,94.44,6974500,93.77
6-Dec-13,93.6,94.48,93.42,94.44,7280400,93.77
5-Dec-13,93.42,93.63,92.66,92.97,8666200,92.31
4-Dec-13,93.76,94.25,93.13,93.63,6218500,92.96
3-Dec-13,94.2,94.56,93.51,93.97,9061100,93.3
2-Dec-13,94.41,94.66,93.97,94.28,5827400,93.61
29-Nov-13,95.23,95.5,94.43,94.66,4106800,93.98
27-Nov-13,95.34,95.37,94.61,94.98,4603800,94.3
26-Nov-13,95.58,95.87,94.97,95.06,7267600,94.38
25-Nov-13,95.49,95.99,95.08,95.63,6374600,94.95
22-Nov-13,94.39,95.58,94.39,95.25,6462100,94.57
21-Nov-13,95.46,95.75,95.05,95.2,6896200,93.86
20-Nov-13,94.94,95.47,94.66,95.15,7076500,93.82
19-Nov-13,94.27,94.92,94,94.86,6624200,93.53
18-Nov-13,94.36,94.6,94.01,94.3,8492000,92.98
15-Nov-13,93.63,94.4,93.55,94.39,7063000,93.07
14-Nov-13,93.4,94.14,93.4,93.92,7045700,92.6
13-Nov-13,93.36,93.45,92.32,93.34,8954300,92.03
12-Nov-13,93.98,94.09,93,93.56,7639600,92.25
11-Nov-13,93.97,94.64,93.94,94.29,4723100,92.97
8-Nov-13,92.63,94.1,92.56,94.05,7229500,92.73
7-Nov-13,93.19,93.35,92.69,92.69,6116900,91.39
6-Nov-13,93.03,93.2,92.72,93.04,5301300,91.73
5-Nov-13,92.54,92.95,92.28,92.81,5350600,91.51
4-Nov-13,93.46,93.5,92.43,93.03,6862500,91.73
1-Nov-13,92.38,93.58,92.38,93.37,6835900,92.06
31-Oct-13,92.85,93.35,92.32,92.61,7773900,91.31
30-Oct-13,93.27,93.45,92.65,92.79,6295400,91.49
29-Oct-13,92.8,93.18,92.58,93.14,6096700,91.83
28-Oct-13,91.96,92.8,91.92,92.39,6551000,91.09
25-Oct-13,92.04,92.27,91.78,92.09,6076000,90.8
24-Oct-13,92.65,92.99,92.14,92.35,5251000,91.05
23-Oct-13,92.07,92.43,91.52,92.1,6449600,90.81
22-Oct-13,91.53,92.56,91.5,92.36,9635500,91.06
21-Oct-13,91.63,91.63,90.77,91.2,6940500,89.92
18-Oct-13,91.75,92.05,91.14,91.63,9082600,90.34
17-Oct-13,90.87,92,90.77,91.97,8569600,90.68
16-Oct-13,90.42,91.17,90.16,91.11,8116000,89.83
15-Oct-13,90.33,91.46,89.93,89.93,11024000,88.67
14-Oct-13,88.83,89.89,88.63,89.8,9198600,88.54
11-Oct-13,88.62,89.48,88.02,89.45,8449800,88.2
10-Oct-13,86.72,87.78,86.7,87.78,8647900,86.55
9-Oct-13,85.93,86.23,85.5,85.96,8014200,84.75
8-Oct-13,86.62,86.74,85.57,85.61,8669800,84.41
7-Oct-13,86.7,86.98,86.29,86.59,5705200,85.38
4-Oct-13,86.82,87.42,86.56,87.31,6050000,86.09
3-Oct-13,87.19,87.4,86.28,86.58,7724600,85.37
2-Oct-13,87.13,87.29,86.44,87.29,6383400,86.07
1-Oct-13,86.59,87.49,86.26,87.47,6318700,86.24
30-Sep-13,86.33,86.95,86.15,86.69,7962300,85.47
27-Sep-13,86.81,86.94,86.44,86.73,5461100,85.51
26-Sep-13,87.28,87.7,86.72,87.07,6400600,85.85
25-Sep-13,88.42,88.47,87.07,87.08,7493200,85.86
24-Sep-13,89.02,89.2,88.15,88.22,7797500,86.98
23-Sep-13,89.43,89.75,88.81,89.09,7376200,87.84
20-Sep-13,90.2,90.72,89.68,89.68,14708600,88.42
19-Sep-13,90.05,90.2,89.79,90.07,6721000,88.81
18-Sep-13,88.91,89.91,88.3,89.91,10115500,88.65
17-Sep-13,89.05,89.22,88.58,89.06,6291100,87.81
16-Sep-13,89.43,89.57,88.83,89.03,7563700,87.78
13-Sep-13,89.13,89.25,88.2,88.57,7738600,87.33
12-Sep-13,89.3,89.57,88.88,89.01,7938500,87.76
