Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,61.89,62.14,61.67,61.8,692300,61.47
30-Dec-13,61.43,62.09,61.43,61.85,650700,61.52
27-Dec-13,61.05,61.75,61.05,61.42,527400,61.09
26-Dec-13,61.72,62,61.58,61.61,609600,61.28
24-Dec-13,61.48,61.81,61.07,61.6,576600,61.27
23-Dec-13,61.34,61.87,61.24,61.54,1124800,61.21
20-Dec-13,60.41,61.61,60.36,61.19,2002600,60.86
19-Dec-13,60.32,60.59,60,60.24,841000,59.92
18-Dec-13,59.83,60.36,59.31,60.34,1614600,60.02
17-Dec-13,60.94,60.95,59.79,59.83,1427500,59.51
16-Dec-13,60.26,60.77,60.23,60.55,826400,60.23
13-Dec-13,60.32,60.85,60.07,60.09,1046400,59.77
12-Dec-13,60.79,61.14,60.19,60.37,1146000,60.05
11-Dec-13,61.22,61.58,60.65,60.79,1544500,60.46
10-Dec-13,60.64,61.31,60.53,61.27,1374400,60.94
9-Dec-13,60.54,60.98,60.42,60.7,1230600,60.37
6-Dec-13,61.39,61.5,60.18,60.36,1730100,60.04
5-Dec-13,61.31,61.33,60.78,61.05,855800,60.72
4-Dec-13,61.34,61.69,60.93,61.35,1203000,61.02
3-Dec-13,61.66,62.33,61.12,61.87,1018000,61.54
2-Dec-13,62.09,62.56,61.75,61.79,1147800,61.46
29-Nov-13,62.93,62.95,62.09,62.21,586200,61.88
27-Nov-13,62.75,63.17,62.43,62.71,1181900,62.37
26-Nov-13,62.79,63.4,62.57,62.9,1335700,62.26
25-Nov-13,62.27,62.79,62.04,62.55,1104000,61.92
22-Nov-13,61.93,62.25,61.81,62.1,1180900,61.47
21-Nov-13,61.63,62.27,61.63,62.14,927700,61.51
20-Nov-13,62.13,62.53,61.64,61.76,1249000,61.14
19-Nov-13,62.28,62.91,61.82,61.87,2123000,61.24
18-Nov-13,63.02,63.04,62.24,62.48,1954700,61.85
15-Nov-13,62.41,63.35,62.13,62.8,3027600,62.17
14-Nov-13,63.19,63.72,62.44,63.43,3057900,62.79
13-Nov-13,62.78,63.6,62.77,63.38,3679500,62.74
12-Nov-13,61.96,62.61,61.51,61.82,2601600,61.2
11-Nov-13,60.82,62.06,60.64,61.84,1661700,61.22
8-Nov-13,60.22,61.43,60.14,61.02,1331100,60.4
7-Nov-13,60.76,61.4,60.17,60.32,1226000,59.71
6-Nov-13,60.48,60.92,60.16,60.51,1120000,59.9
5-Nov-13,60.44,60.67,59.83,60.34,705900,59.73
4-Nov-13,60.08,60.57,60.01,60.46,1196800,59.85
1-Nov-13,60.52,60.7,59.76,59.97,1012100,59.36
31-Oct-13,60.27,60.7,59.91,60.47,993100,59.86
30-Oct-13,60.57,61.24,60.07,60.38,1072300,59.77
29-Oct-13,60.31,60.85,59.85,60.46,1158300,59.85
28-Oct-13,59.14,60.48,58.91,60.15,1512700,59.54
25-Oct-13,59.21,59.49,58.98,59.27,833000,58.67
24-Oct-13,58.91,59.3,58.75,59.08,1212400,58.48
23-Oct-13,58.87,59.22,58.49,58.87,620300,58.28
22-Oct-13,58.87,59.38,58.59,59.03,842600,58.43
21-Oct-13,58.87,58.9,58.35,58.84,812900,58.25
18-Oct-13,58.87,58.96,58.24,58.74,981700,58.15
17-Oct-13,58.09,58.83,58.09,58.65,1298300,58.06
16-Oct-13,57.25,58.24,57.07,58.21,1868100,57.62
15-Oct-13,56.72,57.26,56.47,56.94,1834200,56.36
14-Oct-13,56.62,57.08,56.47,56.93,1004600,56.35
11-Oct-13,56.46,56.88,56.19,56.84,1671800,56.27
10-Oct-13,56.4,56.82,56.06,56.73,1892700,56.16
9-Oct-13,55.74,56.23,55.5,55.77,1630600,55.21
8-Oct-13,56.66,56.88,55.6,55.62,1654200,55.06
7-Oct-13,56.61,56.89,56.32,56.64,1884700,56.07
4-Oct-13,56.91,57.35,56.64,57.13,1338800,56.55
3-Oct-13,56.73,57.01,56.29,56.84,1559400,56.27
2-Oct-13,55.72,57.34,55.51,56.8,2838200,56.23
1-Oct-13,55.97,56.35,55.79,55.95,2167200,55.38
30-Sep-13,55.92,56.27,55.86,56.2,1814500,55.63
27-Sep-13,56.35,56.53,56.11,56.45,1618300,55.88
26-Sep-13,55.93,56.69,55.89,56.58,1911400,56.01
25-Sep-13,56.8,56.85,55.7,55.81,2878300,55.25
24-Sep-13,56.55,56.75,56.29,56.41,1926600,55.84
23-Sep-13,56.97,57.04,56.4,56.63,1635800,56.06
20-Sep-13,57.61,57.71,56.72,57,2552000,56.42
19-Sep-13,57.93,58.07,57.44,57.55,1695300,56.97
18-Sep-13,58.25,58.3,57.24,58.03,2115100,57.44
17-Sep-13,58.18,58.58,58.01,58.18,623600,57.59
16-Sep-13,57.86,58.55,57.77,57.98,1346900,57.39
13-Sep-13,57.3,57.49,56.85,57.28,1018500,56.7
12-Sep-13,57.04,57.38,56.79,57.03,1684300,56.45
11-Sep-13,57.07,57.37,56.8,57.22,1382200,56.64
10-Sep-13,56.92,57.19,56.56,57.1,1303100,56.52
9-Sep-13,56.66,56.85,56.09,56.58,1229100,56.01
6-Sep-13,56.32,56.32,55.34,55.92,1191000,55.36
5-Sep-13,56.08,56.52,56.04,56.19,1169900,55.62
4-Sep-13,55.63,56.25,55.63,56.12,1429000,55.55
3-Sep-13,56.29,56.56,55.38,55.49,1421500,54.93
30-Aug-13,56.09,56.12,55.56,55.73,994900,55.17
29-Aug-13,56.25,56.36,55.89,55.98,1339800,55.41
28-Aug-13,56.61,57.26,56.35,56.53,1038800,55.66
27-Aug-13,56.72,57.11,56.53,56.62,1680400,55.75
26-Aug-13,57.49,57.93,57.22,57.3,1829000,56.42
23-Aug-13,57.22,57.45,56.47,57.28,1459800,56.4
22-Aug-13,56.76,57.45,56.4,57.17,1502500,56.29
21-Aug-13,56.89,57.23,56.43,56.75,1465600,55.88
20-Aug-13,56.45,57.33,56.45,57.1,1644800,56.22
19-Aug-13,56.2,56.96,56.12,56.26,1806500,55.4
16-Aug-13,57.8,58.22,56.3,56.43,5334600,55.56
15-Aug-13,59.27,59.98,58.94,59.33,3472800,58.42
14-Aug-13,59.52,59.72,59.16,59.54,1932400,58.63
13-Aug-13,60.36,60.45,59.24,60.18,3062800,59.26
12-Aug-13,58.68,60.91,58.5,60.79,3641400,59.86
9-Aug-13,59.52,59.67,58.77,58.79,1836700,57.89
8-Aug-13,59.17,60.1,58.8,59.6,1607100,58.68
7-Aug-13,59.61,59.61,58.64,58.9,2031600,58
6-Aug-13,61.74,61.81,59.76,59.81,2836800,58.89
5-Aug-13,61.91,62.16,61.69,62.07,712800,61.12
2-Aug-13,62.02,62.13,61.72,61.99,744400,61.04
1-Aug-13,61.85,62.3,61.78,62.17,1230800,61.22
31-Jul-13,61.5,61.84,61.14,61.24,1091400,60.3
30-Jul-13,61.73,61.97,61.14,61.27,1076000,60.33
29-Jul-13,61.34,61.85,61.27,61.63,804700,60.68
26-Jul-13,61.13,61.53,60.57,61.52,593000,60.58
25-Jul-13,61.37,61.52,61.04,61.44,763700,60.5
24-Jul-13,61.68,61.72,61.08,61.46,828700,60.52
23-Jul-13,61.73,61.9,61.17,61.51,1487500,60.57
22-Jul-13,61.77,62.25,61.38,62.07,697100,61.12
19-Jul-13,61.93,61.94,61.01,61.56,1802400,60.61
18-Jul-13,61.68,61.95,61.42,61.61,1059800,60.66
17-Jul-13,62.12,62.46,61.28,61.62,1149400,60.67
16-Jul-13,62.22,62.46,61.9,62.02,1311000,61.07
15-Jul-13,62.31,62.7,62,62.09,1217300,61.14
12-Jul-13,62.61,63.15,61.78,62.26,1732200,61.3
11-Jul-13,63.16,63.34,62.33,62.65,957200,61.69
10-Jul-13,62.66,62.9,61.92,62.59,1314000,61.63
9-Jul-13,63.14,63.33,62.49,62.67,1417200,61.71
8-Jul-13,62.29,63.11,62.29,62.61,1414400,61.65
5-Jul-13,61.42,62.1,60.96,62.04,711700,61.09
3-Jul-13,60.43,61.13,60.43,61.03,553800,60.09
2-Jul-13,61.21,61.54,60.44,60.72,1088700,59.79
