Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,64.49,64.65,64.15,64.46,599200,64.01
30-Dec-13,63.95,64.3,63.64,64.2,540400,63.75
27-Dec-13,64.28,64.39,63.74,64.06,584100,63.61
26-Dec-13,64.13,64.28,63.84,64.12,441500,63.67
24-Dec-13,63.68,64.16,63.68,64.04,316000,63.59
23-Dec-13,63.42,63.97,63.22,63.85,613900,63.4
20-Dec-13,62.7,63.46,62.49,63.12,1695900,62.67
19-Dec-13,62.65,62.75,61.95,62.7,670800,62.26
18-Dec-13,62.1,62.72,61.17,62.7,1196700,62.26
17-Dec-13,61,62.1,60.68,61.94,1063300,61.5
16-Dec-13,61.8,62,60.85,60.95,1375300,60.52
13-Dec-13,61.26,61.49,60.84,61.18,905400,60.75
12-Dec-13,61.73,62.13,60.55,60.92,1589300,60.49
11-Dec-13,62.55,62.78,61.95,61.97,794800,61.53
10-Dec-13,62.71,62.87,61.98,62.37,904200,61.93
9-Dec-13,62.62,62.97,62.41,62.78,1081000,62.34
6-Dec-13,62.57,63.05,62.28,62.65,1033300,62.21
5-Dec-13,61.99,62.3,61.52,61.81,1675300,61.37
4-Dec-13,63.36,63.74,60.5,61.93,3780800,61.49
3-Dec-13,63.35,64.48,63.23,63.66,965100,63.21
2-Dec-13,63.6,64.3,63.52,63.65,856100,63.2
29-Nov-13,63.9,64.51,63.86,63.87,385900,63.42
27-Nov-13,64.1,64.6,63.75,64.03,1110200,63.58
26-Nov-13,63.68,64.68,63.48,64.45,894800,64
25-Nov-13,63.52,63.66,63.18,63.46,864200,63.01
22-Nov-13,63.72,63.98,63.33,63.49,1209400,63.04
21-Nov-13,62.29,63.66,61.98,63.41,984700,62.96
20-Nov-13,62.44,62.61,61.57,61.87,838100,61.43
19-Nov-13,62.38,62.87,61.83,62.02,1198400,61.58
18-Nov-13,63.64,63.71,62.74,62.88,943100,62.44
15-Nov-13,62.72,63.59,61.82,63.53,1912500,63.08
14-Nov-13,63.45,63.5,62.56,62.63,1056200,62.19
13-Nov-13,62.83,63.93,62.58,63.93,1031000,63.03
12-Nov-13,62.14,63.4,62.14,63.32,989400,62.43
11-Nov-13,63.8,63.91,62.36,62.78,1950300,61.9
8-Nov-13,63.99,64.8,63.53,64.8,816900,63.89
7-Nov-13,64.44,64.85,63.68,63.86,1228900,62.96
6-Nov-13,64.6,64.77,64.03,64.65,925800,63.74
5-Nov-13,63.57,64.62,63.57,63.97,1558300,63.07
4-Nov-13,64.87,64.89,64.05,64.47,1463500,63.56
1-Nov-13,65.89,65.9,64.29,64.89,1380800,63.98
31-Oct-13,65.92,66.54,65.6,65.6,1329400,64.68
30-Oct-13,66.06,66.22,65.28,65.82,1603400,64.9
29-Oct-13,64.56,67.05,64.56,66.19,3053900,65.26
28-Oct-13,63.6,64.97,63.6,64.75,1718300,63.84
25-Oct-13,62.3,63.9,61.75,63.88,2634000,62.98
24-Oct-13,64.15,64.29,63.58,63.73,1926700,62.83
23-Oct-13,64.03,64.34,63.05,63.05,1523100,62.16
22-Oct-13,64.84,65.25,64.45,64.82,1463000,63.91
21-Oct-13,64.64,64.83,64.13,64.43,1159400,63.53
18-Oct-13,63.92,64.88,63.53,64.46,1761300,63.55
17-Oct-13,62.48,63.89,62.13,63.89,1134700,62.99
16-Oct-13,62.09,62.97,61.76,62.83,1082700,61.95
15-Oct-13,62.4,62.7,61.92,61.95,1131800,61.08
14-Oct-13,61.81,62.98,61.71,62.87,974700,61.99
11-Oct-13,60.85,61.95,60.78,61.68,772100,60.81
10-Oct-13,60.04,61.28,59.86,61.2,1073200,60.34
9-Oct-13,60.03,60.04,58.83,59.46,1414500,58.62
8-Oct-13,60.89,61.07,59.68,59.7,1043500,58.86
7-Oct-13,60.26,61.13,59.95,60.76,749800,59.91
4-Oct-13,60.46,60.99,59.96,60.8,1471900,59.95
3-Oct-13,60.81,61.03,59.79,60.42,1263900,59.57
2-Oct-13,60.78,60.97,60.13,60.95,1026200,60.09
1-Oct-13,60.99,61.28,60.53,60.99,1251500,60.13
30-Sep-13,60.41,61.04,60.34,60.85,1087000,60
27-Sep-13,60.75,61.02,60.45,60.91,1037900,60.05
26-Sep-13,61.96,61.96,60.8,60.96,1368100,60.1
25-Sep-13,61.45,61.95,61.16,61.48,1747000,60.62
24-Sep-13,61.43,61.5,60.84,61.14,2234000,60.28
23-Sep-13,61.31,61.67,60.87,61.27,936100,60.41
20-Sep-13,61.83,62.07,61.17,61.25,1635200,60.39
19-Sep-13,62.11,62.45,61.32,61.76,957300,60.89
18-Sep-13,61.8,62.11,60.93,62.01,974100,61.14
17-Sep-13,60.97,61.8,60.97,61.68,1439900,60.81
16-Sep-13,60.47,61.45,60.46,61.09,2033000,60.23
13-Sep-13,60.46,60.47,59.67,60.28,793900,59.43
12-Sep-13,59.83,60.41,59.65,60.2,948100,59.35
11-Sep-13,59.39,60,59.06,59.72,905200,58.88
10-Sep-13,59.06,59.96,58.99,59.63,1653700,58.79
9-Sep-13,58.85,59.12,58.38,58.9,1272100,58.07
6-Sep-13,58.92,59.43,58,58.76,1545800,57.93
5-Sep-13,58.46,58.69,57.77,58.54,1776400,57.72
4-Sep-13,55.28,58.84,55.28,58.42,3239400,57.6
3-Sep-13,55.8,56.43,55.11,55.38,1241500,54.6
30-Aug-13,55.66,55.87,54.9,55.15,892100,54.38
29-Aug-13,54.85,55.63,54.7,55.34,611100,54.56
28-Aug-13,54.81,55.26,54.7,54.85,993300,54.08
27-Aug-13,55.41,55.97,54.65,54.67,1374400,53.9
26-Aug-13,56.81,56.97,56.31,56.4,770200,55.61
23-Aug-13,56.56,56.76,56.03,56.67,769100,55.87
22-Aug-13,56.19,56.84,56.04,56.43,1015000,55.64
21-Aug-13,56.42,56.52,55.43,55.88,1092000,55.1
20-Aug-13,56.48,56.72,55.69,56.35,1516000,55.56
19-Aug-13,56.46,56.74,56.26,56.32,1109800,55.53
16-Aug-13,56.68,57.22,56.28,56.54,2473800,55.75
15-Aug-13,58.29,58.32,57,57.07,1381700,56.27
14-Aug-13,59.18,59.18,58.45,58.77,1005900,57.94
13-Aug-13,58.91,59.51,58.15,59.35,1440500,58.07
12-Aug-13,57.67,58.82,57.51,58.75,1197400,57.49
9-Aug-13,58.23,58.23,57.19,57.71,1578400,56.47
8-Aug-13,58.66,58.9,57.71,58.43,1149900,57.17
7-Aug-13,58.45,58.57,57.9,58.41,991500,57.15
6-Aug-13,58.61,58.88,58.28,58.37,870700,57.11
5-Aug-13,59.25,59.47,58.38,58.65,1157800,57.39
2-Aug-13,59.93,59.95,59.2,59.5,1157400,58.22
1-Aug-13,59.17,60.18,58.85,60.12,1380000,58.83
31-Jul-13,58.94,59.09,58.5,58.63,1467600,57.37
30-Jul-13,57.86,58.69,57.86,58.42,1344100,57.16
29-Jul-13,58.66,58.68,57.59,57.76,2584200,56.52
26-Jul-13,58.58,59.19,57.94,58.78,2782100,57.52
25-Jul-13,59.95,60,59.3,59.79,2022400,58.5
24-Jul-13,60.35,60.73,59.27,59.45,1428300,58.17
23-Jul-13,60.55,60.77,60.06,60.12,959900,58.83
22-Jul-13,60.69,60.94,59.93,60.31,1229300,59.01
19-Jul-13,60.42,60.74,60.01,60.63,1827700,59.33
18-Jul-13,60,60.47,59.47,60.18,1434700,58.88
17-Jul-13,60,60.38,59.77,60.16,1339300,58.87
16-Jul-13,59.48,59.99,59.28,59.48,1441700,58.2
15-Jul-13,60.35,60.38,59.22,59.25,1901000,57.97
12-Jul-13,60,60.4,59.66,60.39,2226300,59.09
11-Jul-13,59.65,60,59.25,59.93,2226700,58.64
10-Jul-13,58.07,59.38,57.85,59.24,2705600,57.97
9-Jul-13,56.14,58.48,55.68,58.15,4090100,56.9
8-Jul-13,56.61,56.8,55.29,55.49,1939300,54.3
5-Jul-13,55.47,56.6,55.25,56.47,1676000,55.25
3-Jul-13,54.45,55.57,54.29,55.07,716200,53.88
2-Jul-13,55.13,55.78,54.46,54.85,1250400,53.67
1-Jul-13,56.18,56.46,55.18,55.28,1239100,54.09
28-Jun-13,55.19,56.63,55,55.73,2300900,54.53
27-Jun-13,55.84,56.43,55.5,55.57,1766400,54.37
26-Jun-13,56.11,56.22,55.12,55.33,1632700,54.14
25-Jun-13,54.35,55.74,53.81,55.5,1968400,54.31
24-Jun-13,54.51,54.61,53.38,53.81,2606700,52.65
21-Jun-13,54.69,55.07,54.04,54.77,2755900,53.59
20-Jun-13,55.55,55.87,54.22,54.43,1741500,53.26
19-Jun-13,56.02,56.88,55.72,56.21,1692000,55
18-Jun-13,56.19,56.67,56.01,56.39,1453400,55.18
17-Jun-13,56.09,56.55,55.76,55.98,1321400,54.78
14-Jun-13,56.55,56.65,55.7,55.71,1117400,54.51
13-Jun-13,55.34,56.83,55.03,56.61,1340400,55.39
12-Jun-13,56.1,56.1,55.09,55.18,2047400,53.99
11-Jun-13,56.16,56.49,55.22,55.28,1159000,54.09
10-Jun-13,56.7,56.81,56.24,56.74,868100,55.52
7-Jun-13,56.67,56.88,56.03,56.77,1191600,55.55
6-Jun-13,56.69,56.93,55.67,56.08,971000,54.87
5-Jun-13,56.95,56.98,56.18,56.5,1312600,55.28
4-Jun-13,57.04,57.56,56.64,56.98,1485300,55.75
3-Jun-13,56.68,57.35,56.23,56.9,1849700,55.68
31-May-13,56.33,56.79,56.16,56.29,2372500,55.08
30-May-13,55.63,56.8,55.5,56.51,2102600,55.29
29-May-13,55.45,56.05,55.01,55.62,2950500,54.42
28-May-13,55.34,55.91,55.14,55.67,2213200,54.47
24-May-13,54.47,55,54.35,54.67,1272600,53.49
23-May-13,55.07,55.37,54.37,54.94,2324100,53.76
22-May-13,56.15,56.72,55.38,55.48,2033800,54.29
21-May-13,55.95,56.12,55.5,56.06,1362300,54.85
20-May-13,55.61,56.3,55.43,55.62,2079800,54.42
17-May-13,55.48,55.88,54.9,55.87,1948300,54.67
16-May-13,55.26,55.69,54.99,55.21,2464600,54.02
15-May-13,54.25,55.45,54.11,55.05,1646700,53.87
14-May-13,53.78,54.47,53.53,54.45,1546300,53.28
13-May-13,54.19,54.39,53.51,53.7,1599500,52.54
10-May-13,54.29,54.78,53.81,54.47,1428600,53.3
9-May-13,54.59,54.97,54.01,54.2,1970600,53.03
8-May-13,54.78,54.9,54.09,54.7,1324500,53.13
7-May-13,54.22,54.74,53.99,54.46,3404900,52.9
6-May-13,54.25,54.37,53.85,54.06,2057400,52.51
3-May-13,54.61,54.69,54.1,54.3,2840100,52.74
2-May-13,53.59,54.1,53.49,53.89,2040800,52.34
1-May-13,54.23,54.37,53.45,53.59,2246200,52.05
30-Apr-13,53.15,54.5,53.02,54.25,4325000,52.69
29-Apr-13,51.78,53.25,51.73,53.11,3191700,51.59
26-Apr-13,51.61,53,50.23,52.11,7812600,50.62
25-Apr-13,55.8,57,55.62,55.9,2457600,54.3
24-Apr-13,55.12,55.55,54.88,55.49,1479900,53.9
23-Apr-13,54.3,55.38,53.94,55.21,2307100,53.63
22-Apr-13,53.42,54.21,52.34,53.76,1587500,52.22
19-Apr-13,52.59,53.44,52.23,53.05,1795700,51.53
18-Apr-13,53.32,53.93,52.73,52.87,2137000,51.35
17-Apr-13,53.04,54.12,52.12,52.75,2312100,51.24
16-Apr-13,52.45,53.51,52.16,53.43,1846200,51.9
15-Apr-13,53.7,53.86,52.17,52.31,1666400,50.81
12-Apr-13,53.79,53.85,53.04,53.77,1156900,52.23
11-Apr-13,54.03,54.93,53.73,53.8,1602100,52.26
10-Apr-13,52.65,54.28,52.6,54.26,1901600,52.7
9-Apr-13,52,53.14,51.83,52.64,1530100,51.13
8-Apr-13,51.62,52,51.3,51.99,1610300,50.5
5-Apr-13,50.8,51.79,50.27,51.73,1879400,50.25
4-Apr-13,51.27,51.81,51.1,51.54,1218300,50.06
3-Apr-13,51.67,51.99,51.08,51.3,2078800,49.83
2-Apr-13,51.59,51.89,51.29,51.4,1819100,49.93
1-Apr-13,52.73,52.82,51.42,51.57,1500700,50.09
28-Mar-13,51.53,52.8,51.53,52.74,1554900,51.23
27-Mar-13,51.54,51.78,51.31,51.74,1695000,50.26
26-Mar-13,52.57,52.68,51.46,52.05,1682700,50.56
25-Mar-13,52.08,52.17,51.15,51.65,1271600,50.17
22-Mar-13,51.51,51.83,50.98,51.62,1909800,50.14
21-Mar-13,51.2,51.71,51,51.26,1842800,49.79
20-Mar-13,51.82,52.07,51.43,51.58,1410600,50.1
19-Mar-13,51.73,52.18,50.8,51.35,2753800,49.88
18-Mar-13,52.32,52.63,51.55,51.73,2397500,50.25
15-Mar-13,54.7,54.85,52.39,52.65,5244400,51.14
14-Mar-13,55,55.71,54.87,54.93,1223000,53.35
13-Mar-13,54.73,54.89,54.21,54.73,727300,53.16
12-Mar-13,54.66,54.95,54.13,54.64,945400,53.07
11-Mar-13,54.97,55,54.55,54.71,1134800,53.14
8-Mar-13,55.34,55.75,54.55,55.16,1157200,53.58
7-Mar-13,55.24,55.55,54.87,55.04,1421900,53.46
6-Mar-13,55.76,55.76,54.81,55,2691300,53.42
5-Mar-13,54.42,55.82,54.31,55.55,2473100,53.96
4-Mar-13,54.24,54.46,53.72,53.97,1781200,52.42
1-Mar-13,54.36,54.75,53.61,54.5,2122400,52.94
28-Feb-13,54.7,55.27,54.22,54.76,1810600,53.19
27-Feb-13,53.72,55.08,53.54,54.73,1706500,53.16
26-Feb-13,53.43,54.27,53.32,53.92,1695200,52.37
25-Feb-13,55.23,55.57,53,53.02,2146800,51.5
22-Feb-13,54.28,55.03,54.28,54.78,1576800,53.21
21-Feb-13,54.9,55.1,53.53,53.86,3141800,52.32
20-Feb-13,56.47,56.51,54.85,54.9,1675200,53.33
19-Feb-13,55.99,57.14,55.85,56.39,2139900,54.77
15-Feb-13,56.13,56.28,55.34,55.76,1483800,54.16
14-Feb-13,56.01,56.18,55.52,56.1,2182800,54.49
13-Feb-13,56.76,57,56.21,56.61,1495200,54.6
12-Feb-13,56.56,56.8,56.24,56.71,1860700,54.69
11-Feb-13,56.67,56.89,56.26,56.38,1672300,54.38
8-Feb-13,56.97,57.18,56.18,56.57,2066500,54.56
7-Feb-13,56.94,56.94,55.92,56.79,2259700,54.77
6-Feb-13,56.12,57.18,56.1,57.02,3169100,54.99
5-Feb-13,56.19,56.64,55.86,56.55,2634400,54.54
4-Feb-13,55.55,56.86,55.5,55.82,2866600,53.84
1-Feb-13,55.43,56.05,55.21,55.76,1955700,53.78
31-Jan-13,55.49,55.89,54.83,54.91,2098200,52.96
30-Jan-13,55.89,56,55.06,55.17,2098600,53.21
29-Jan-13,55.91,56.04,55.13,55.82,2721800,53.84
28-Jan-13,56.25,56.51,55.86,56.1,2170400,54.11
25-Jan-13,53.5,57.97,53.5,56.34,7161700,54.34
24-Jan-13,52.22,52.56,51.77,51.97,2200700,50.12
23-Jan-13,52,52.49,51.4,52.35,1967600,50.49
22-Jan-13,51.8,51.98,51.46,51.8,1879800,49.96
18-Jan-13,52.11,52.42,51.49,51.84,4140100,50
17-Jan-13,48.56,52,48.5,51.89,7126100,50.05
16-Jan-13,48.22,48.73,48.16,48.5,1493300,46.78
15-Jan-13,48.55,48.65,48.11,48.39,1663200,46.67
14-Jan-13,49,49.48,48.72,48.92,1325700,47.18
11-Jan-13,48.69,49.23,48.4,49.19,1771800,47.44
10-Jan-13,48.12,48.7,48.03,48.59,1530900,46.86
9-Jan-13,47.54,47.96,47.48,47.84,1020900,46.14
8-Jan-13,48.36,48.49,47.37,47.37,1566700,45.69
7-Jan-13,48.65,48.72,47.88,48.63,1548000,46.9
4-Jan-13,49.16,49.34,48.77,48.98,1332300,47.24
3-Jan-13,50,50.18,48.88,49.14,2237900,47.39
2-Jan-13,48.81,49.7,48.73,49.57,1837500,47.81
