Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,53.91,54.21,53.72,53.91,1720000,53.42
30-Dec-13,53.67,54.12,53.6,53.94,1629100,53.45
27-Dec-13,53.79,53.94,53.56,53.71,1490400,53.22
26-Dec-13,53.34,53.71,53.22,53.63,1399800,53.14
24-Dec-13,53.33,53.49,53.06,53.32,1103100,52.83
23-Dec-13,53.65,54,53.51,53.95,2257000,52.94
20-Dec-13,53.29,54.05,53.2,54,5544200,52.99
19-Dec-13,53.42,53.5,52.91,53.18,4173500,52.18
18-Dec-13,53.22,53.42,52.41,53.34,4538600,52.34
17-Dec-13,52.7,52.75,52.3,52.44,2791800,51.46
16-Dec-13,52.72,53.3,52.6,52.84,2000100,51.85
13-Dec-13,53.25,53.27,52.47,52.61,3145200,51.62
12-Dec-13,53.63,53.69,52.67,52.93,3206200,51.94
11-Dec-13,53.86,54.14,53.63,53.73,2138500,52.72
10-Dec-13,54.72,54.78,53.67,54.06,3160200,53.04
9-Dec-13,54.58,54.92,54.3,54.5,3941000,53.48
6-Dec-13,53.05,53.6,53.04,53.55,2363100,52.54
5-Dec-13,52.88,52.98,52.45,52.66,2183400,51.67
4-Dec-13,52.87,52.99,52.31,52.81,2522000,51.82
3-Dec-13,52.91,53.32,52.86,53.03,2365500,52.03
2-Dec-13,53.36,53.41,52.76,53.1,2398400,52.1
29-Nov-13,53.39,53.69,53.03,53.12,1443100,52.12
27-Nov-13,53.1,53.59,53,53.39,2600400,52.39
26-Nov-13,52.97,53.59,52.8,53.17,3702800,52.17
25-Nov-13,52.99,52.99,52.6,52.68,2034900,51.69
22-Nov-13,52.13,52.9,52.12,52.72,2390900,51.73
21-Nov-13,52.69,52.82,52.09,52.5,3584600,51.51
20-Nov-13,53.59,53.59,52.29,52.59,3899400,51.6
19-Nov-13,52.96,53.11,52.68,52.87,2975800,51.88
18-Nov-13,53.31,53.94,52.8,52.94,2952600,51.95
15-Nov-13,53.07,53.13,52.51,53.05,3306900,52.05
14-Nov-13,52.71,53.18,52.58,53.02,2716400,52.02
13-Nov-13,52.37,52.53,51.97,52.52,3175800,51.53
12-Nov-13,52.39,52.5,51.84,51.96,4313600,50.98
