Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,4.98,5.14,4.91,4.98,171100,4.9
30-Dec-13,5.02,5.31,4.92,4.94,342500,4.86
27-Dec-13,5,5.27,4.97,5.06,128600,4.98
26-Dec-13,5.08,5.3,4.99,4.99,162000,4.91
24-Dec-13,4.82,5.16,4.82,5.07,80600,4.99
23-Dec-13,4.58,4.89,4.58,4.85,372200,4.77
20-Dec-13,4.61,4.75,4.52,4.55,2352200,4.47
19-Dec-13,4.59,4.75,4.58,4.59,226200,4.51
18-Dec-13,4.58,4.62,4.54,4.59,231300,4.51
17-Dec-13,4.57,4.59,4.54,4.56,257700,4.48
16-Dec-13,4.7,4.71,4.57,4.58,261800,4.5
13-Dec-13,4.54,5.03,4.54,4.66,256600,4.58
12-Dec-13,4.53,4.74,4.35,4.54,384400,4.46
11-Dec-13,4.93,5,4.81,4.84,74500,4.76
10-Dec-13,5.14,5.18,4.96,4.97,75800,4.82
9-Dec-13,5.15,5.15,5.01,5.12,53000,4.96
6-Dec-13,5.19,5.23,5.07,5.13,47500,4.97
5-Dec-13,5.24,5.24,5.12,5.14,36000,4.98
4-Dec-13,5.22,5.29,5.15,5.25,59700,5.09
3-Dec-13,5.29,5.5,5.12,5.19,104100,5.03
2-Dec-13,5.32,5.4,5.16,5.33,154300,5.17
29-Nov-13,5.41,5.55,5.35,5.35,38700,5.19
27-Nov-13,5.26,5.41,5.26,5.36,30500,5.2
26-Nov-13,5.23,5.4,5.22,5.27,71600,5.11
25-Nov-13,5.29,5.4,5.21,5.24,60200,5.08
22-Nov-13,5.25,5.37,5.19,5.25,92900,5.09
21-Nov-13,5.34,5.38,5.19,5.23,188100,5.07
20-Nov-13,5.31,5.39,5.29,5.3,47300,5.14
19-Nov-13,5.38,5.54,5.3,5.31,66300,5.15
18-Nov-13,5.38,5.45,5.37,5.37,56000,5.21
15-Nov-13,5.31,5.42,5.28,5.34,75400,5.18
14-Nov-13,5.5,5.55,5.31,5.32,42400,5.16
13-Nov-13,5.55,5.56,5.38,5.52,46300,5.35
12-Nov-13,5.44,5.67,5.25,5.56,88600,5.39
11-Nov-13,5.5,5.71,5.38,5.45,69000,5.28
