Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,43.45,43.71,43.35,43.48,831600,43.36
30-Dec-13,43.63,43.94,43.36,43.47,671300,43.35
27-Dec-13,43.94,43.99,43.55,43.68,652900,43.56
26-Dec-13,44,44.09,43.73,43.78,700300,43.66
24-Dec-13,43.88,44,43.8,43.88,282200,43.76
23-Dec-13,43.81,44.08,43.76,43.89,1092200,43.77
20-Dec-13,43.42,43.76,43.37,43.47,2043700,43.35
19-Dec-13,43.29,43.66,43.03,43.37,1878300,43.25
18-Dec-13,42.52,43.49,42.47,43.42,3023900,43.3
17-Dec-13,42.1,42.73,41.99,42.51,2269700,42.39
16-Dec-13,41.57,42.4,41.54,42.04,1599900,41.92
13-Dec-13,40.76,41.51,40.63,41.38,1226100,41.26
12-Dec-13,40.55,40.9,40.31,40.63,1582400,40.52
11-Dec-13,40.81,41.34,40.52,40.6,2677800,40.49
10-Dec-13,40,41.27,39.94,40.8,2889400,40.69
9-Dec-13,39.88,40.21,39.52,40.2,1618900,40.09
6-Dec-13,39.09,40.07,39.06,39.9,1701200,39.66
5-Dec-13,38.71,38.81,38.15,38.49,1105800,38.26
4-Dec-13,38.86,39.46,38.49,38.89,720000,38.65
3-Dec-13,39.72,39.92,38.82,39.08,952500,38.84
2-Dec-13,39.14,40.06,39.14,39.86,1585700,39.62
29-Nov-13,39.35,39.67,39.1,39.11,666000,38.87
27-Nov-13,39.01,39.37,38.95,39.32,1235400,39.08
26-Nov-13,39.18,39.45,38.93,38.96,1335300,38.72
25-Nov-13,39.23,39.39,39.06,39.17,1031500,38.93
22-Nov-13,39.33,39.41,38.96,39.15,1033600,38.91
21-Nov-13,38.96,39.52,38.88,39.29,1760500,39.05
20-Nov-13,39.05,39.19,38.64,38.73,1428600,38.5
19-Nov-13,39.27,39.44,38.92,39,1150700,38.76
18-Nov-13,39.67,39.96,39.19,39.3,1456100,39.06
15-Nov-13,39.64,39.88,39.49,39.52,1120900,39.28
14-Nov-13,39.79,39.99,39.41,39.7,1483400,39.46
13-Nov-13,39.29,39.65,39.23,39.6,1110700,39.36
12-Nov-13,39.79,40.13,39.34,39.44,1349700,39.2
11-Nov-13,39.47,40.66,39.19,40.06,1666600,39.82
8-Nov-13,38.78,39.56,38.69,39.55,1221500,39.31
7-Nov-13,39.38,39.5,38.47,38.58,1511000,38.35
6-Nov-13,39.19,39.45,39.01,39.32,777700,39.08
5-Nov-13,38.88,39.14,38.73,39.05,837900,38.81
4-Nov-13,38.71,39.07,38.63,38.94,968400,38.7
1-Nov-13,38.56,38.74,38.21,38.61,937800,38.38
31-Oct-13,38.48,38.93,38.27,38.47,1466300,38.24
30-Oct-13,39,39.39,38.64,38.71,2020300,38.48
29-Oct-13,38.41,39.02,38.37,38.99,1061400,38.75
28-Oct-13,38,38.42,37.72,38.28,1262600,38.05
25-Oct-13,36.91,38.36,36.91,37.91,1977700,37.68
24-Oct-13,36.48,37.14,36.28,36.87,1368200,36.65
23-Oct-13,36.7,36.82,36.31,36.44,972600,36.22
22-Oct-13,36.79,37.06,36.48,36.87,822500,36.65
21-Oct-13,36.85,37.04,36.49,36.56,1724600,36.34
18-Oct-13,36.42,36.91,36.33,36.75,1239400,36.53
17-Oct-13,35.39,36.31,35.3,36.24,1153900,36.02
16-Oct-13,35.35,35.84,35.2,35.55,1290200,35.34
15-Oct-13,35.15,35.4,34.85,35.11,1629400,34.9
14-Oct-13,34.4,35.13,34.25,35.04,675400,34.83
11-Oct-13,34.33,34.94,34.21,34.69,868100,34.48
10-Oct-13,33.64,34.49,33.6,34.42,1690900,34.21
9-Oct-13,32.64,33.11,32.44,32.99,1168300,32.79
8-Oct-13,33.62,33.76,32.59,32.6,1193200,32.4
7-Oct-13,33.68,34.02,33.46,33.68,912100,33.48
4-Oct-13,33.65,34.12,33.54,34.06,959100,33.85
3-Oct-13,33.92,34.05,33.21,33.57,1377000,33.37
2-Oct-13,33.6,33.97,33.49,33.96,930600,33.75
1-Oct-13,33.36,33.85,33.29,33.8,1106200,33.6
30-Sep-13,33.43,33.69,33.26,33.44,1151000,33.11
27-Sep-13,33.92,33.97,33.68,33.89,833100,33.55
26-Sep-13,34.09,34.37,33.92,34.16,575100,33.82
25-Sep-13,34.03,34.3,33.74,34.08,973300,33.74
24-Sep-13,34.2,34.51,33.96,34.08,788800,33.74
23-Sep-13,34.4,34.51,34.04,34.14,727800,33.8
20-Sep-13,35.03,35.26,34.39,34.55,1800400,34.21
19-Sep-13,34.94,35.33,34.91,34.92,1232400,34.57
18-Sep-13,34.46,35.03,34.32,34.84,1104300,34.49
17-Sep-13,34.24,34.83,34.21,34.52,1126100,34.18
16-Sep-13,34.59,34.65,34.15,34.27,1205400,33.93
13-Sep-13,34,34.08,33.64,33.99,771900,33.65
12-Sep-13,34.5,34.57,33.86,34,1568300,33.66
11-Sep-13,34.84,34.93,34.14,34.39,1351300,34.05
10-Sep-13,34.3,34.94,34.3,34.86,1160400,34.51
9-Sep-13,33.61,34.23,33.27,34.06,1993900,33.72
6-Sep-13,33.34,33.68,32.68,33.49,1105300,33.16
5-Sep-13,33.28,33.63,33.18,33.24,815100,32.91
4-Sep-13,32.92,33.8,32.83,33.35,1398700,33.02
3-Sep-13,33.02,33.36,32.51,32.8,673400,32.48
30-Aug-13,33.09,33.14,32.42,32.52,721300,32.2
29-Aug-13,32.36,33.42,32.31,33.04,911900,32.71
28-Aug-13,32.55,32.89,32.38,32.55,1131700,32.23
27-Aug-13,32.94,33.07,32.54,32.59,1406700,32.27
26-Aug-13,33.42,33.7,33.3,33.31,829300,32.98
23-Aug-13,33.39,33.47,33,33.39,690700,33.06
22-Aug-13,32.83,33.45,32.72,33.3,795700,32.97
21-Aug-13,32.58,33.01,32.34,32.66,1397900,32.34
20-Aug-13,32.27,32.88,32.11,32.69,947100,32.37
19-Aug-13,32.6,32.7,32.18,32.26,1570500,31.94
16-Aug-13,32.91,33.06,32.47,32.76,1758800,32.44
15-Aug-13,33.52,33.52,32.85,33.03,1828200,32.7
14-Aug-13,33.66,34.32,33.66,34,1531400,33.66
13-Aug-13,33.6,34.06,33.38,33.74,1057800,33.41
12-Aug-13,33.37,33.78,33.37,33.53,1111900,33.2
9-Aug-13,33.44,33.79,33.44,33.59,791500,33.26
8-Aug-13,33.71,33.8,33.26,33.46,1276100,33.13
7-Aug-13,34,34,33.42,33.54,1742000,33.21
6-Aug-13,34.53,34.87,34.05,34.1,1015100,33.76
5-Aug-13,34.66,34.86,34.53,34.67,808600,34.33
2-Aug-13,34.76,34.97,34.63,34.75,790500,34.41
1-Aug-13,34.87,35.15,34.75,34.95,1303900,34.6
31-Jul-13,34.54,34.87,34.32,34.39,1520800,34.05
30-Jul-13,34.94,35,34.3,34.47,1725900,34.13
29-Jul-13,34.87,35.12,34.55,34.71,1115600,34.37
26-Jul-13,34.65,35.04,34.48,35.04,1575900,34.69
25-Jul-13,34.48,35.85,34.48,34.9,3365400,34.55
24-Jul-13,34.75,34.94,33.8,34.03,2215300,33.69
23-Jul-13,34.64,35,34.55,34.88,1528300,34.53
22-Jul-13,34.16,34.65,34.14,34.62,1364600,34.28
19-Jul-13,33.76,34.27,33.4,34.18,1385300,33.84
18-Jul-13,33.6,33.93,33.55,33.81,1448700,33.48
17-Jul-13,32.85,33.53,32.75,33.38,1513200,33.05
16-Jul-13,32.89,33.07,32.73,32.74,1003500,32.42
15-Jul-13,32.65,33.17,32.45,32.88,1203400,32.55
12-Jul-13,32.73,32.88,32.4,32.64,1151800,32.32
11-Jul-13,32.24,33.23,32.22,32.75,3397100,32.43
10-Jul-13,31.69,31.8,31.4,31.57,1231100,31.26
9-Jul-13,30.92,31.9,30.61,31.68,1938700,31.37
8-Jul-13,31.14,31.35,30.56,30.63,1632300,30.33
5-Jul-13,31.32,31.32,30.28,31,2077800,30.69
3-Jul-13,31.08,31.35,30.9,30.97,658600,30.66
2-Jul-13,31.29,31.71,31.14,31.3,1480000,30.99
1-Jul-13,31.09,31.67,31,31.31,2112100,31
28-Jun-13,31.2,31.2,30.59,31.01,2652700,30.7
27-Jun-13,31.08,31.49,30.87,31.4,2056200,31.09
26-Jun-13,30.97,31.37,30.85,30.85,1458500,30.54
25-Jun-13,30.37,30.87,30.2,30.72,1711500,30.42
24-Jun-13,30.09,30.32,29.28,29.96,2694900,29.66
21-Jun-13,30.95,31.08,30.35,30.53,3040500,30.23
20-Jun-13,31.9,31.96,30.62,30.69,3835500,30.39
19-Jun-13,33.6,33.74,32.23,32.26,3235700,31.94
18-Jun-13,33.29,33.76,33.13,33.58,1470100,33.25
17-Jun-13,32.9,33.87,32.9,33.18,2232300,32.85
14-Jun-13,33.34,33.36,32.53,32.62,1037400,32.3
13-Jun-13,32.4,33.41,32.11,33.36,2479100,33.03
12-Jun-13,32.42,32.94,32.25,32.44,3741900,32.12
11-Jun-13,33.8,34.13,33.25,33.34,1684700,33.01
10-Jun-13,34.26,34.42,33.94,34.18,1259800,33.84
7-Jun-13,34.26,34.58,33.7,34.06,2719900,33.72
6-Jun-13,33.46,34.02,33.09,34.01,2119900,33.54
5-Jun-13,34.25,34.36,33.31,33.47,1839400,33.01
4-Jun-13,35.05,35.46,34.26,34.38,1395700,33.91
3-Jun-13,35.15,35.52,34.31,35,1873400,34.52
31-May-13,35.77,36.08,35.04,35.04,1626400,34.56
30-May-13,35.26,36.12,35.21,35.95,998900,35.46
29-May-13,35.65,35.76,35.08,35.23,1742000,34.75
28-May-13,35.49,36.39,35.45,35.91,1513600,35.42
24-May-13,34.42,35.07,34.42,35.01,797100,34.53
23-May-13,34.7,35.21,34.42,34.92,1416400,34.44
22-May-13,36.13,37.04,35.04,35.29,2027200,34.81
21-May-13,35.99,36.4,35.96,36.13,839900,35.64
20-May-13,36.14,36.62,36.03,36.09,1306000,35.6
17-May-13,35.49,36.15,35.46,36.13,1466600,35.64
16-May-13,34.83,35.55,34.76,35.28,2313200,34.8
15-May-13,34.55,34.9,34.54,34.86,2817800,34.38
14-May-13,34.34,34.84,34.34,34.69,2357600,34.22
13-May-13,34.09,34.53,34.02,34.29,1162700,33.82
10-May-13,33.62,34.31,33.43,34.16,1254900,33.69
9-May-13,33.33,34.12,33.33,33.64,1776200,33.18
8-May-13,32.91,33.47,32.81,33.39,889600,32.93
7-May-13,32.91,33.03,32.56,32.94,961100,32.49
6-May-13,32.3,32.96,32.11,32.8,1451400,32.35
3-May-13,32.08,32.44,32.01,32.15,1512100,31.71
2-May-13,31.41,31.78,31.14,31.74,1412400,31.31
1-May-13,32,32,31.18,31.25,1413500,30.82
30-Apr-13,31.2,31.92,30.92,31.86,2074500,31.42
29-Apr-13,31.26,31.67,31.06,31.38,1109000,30.95
26-Apr-13,31.2,31.36,30.96,31.08,872500,30.65
25-Apr-13,31.14,31.5,31.06,31.19,705200,30.76
24-Apr-13,30.69,31.05,30.64,31.01,740800,30.59
23-Apr-13,30.53,30.94,30.39,30.69,1355800,30.27
22-Apr-13,30.25,30.32,29.82,30.3,842100,29.89
19-Apr-13,29.94,30.23,29.73,30.19,1203200,29.78
18-Apr-13,30.08,30.16,29.61,29.76,1233800,29.35
17-Apr-13,30.8,30.93,29.99,30.08,2387200,29.67
16-Apr-13,31.14,31.32,30.95,31.2,1189200,30.77
15-Apr-13,31.94,31.99,30.82,30.83,1184500,30.41
12-Apr-13,31.91,32.21,31.91,32.1,710400,31.66
11-Apr-13,32.1,32.46,31.96,32.09,1008700,31.65
10-Apr-13,31.31,32.35,31.29,32.23,1463900,31.79
9-Apr-13,31.51,31.57,31.18,31.23,1259500,30.8
8-Apr-13,30.81,31.43,30.57,31.43,1212000,31
5-Apr-13,30.27,30.8,29.81,30.74,1619700,30.32
4-Apr-13,30.47,30.98,30.44,30.79,892900,30.37
3-Apr-13,31.06,31.22,30.29,30.49,2427000,30.07
2-Apr-13,31.6,31.85,31.45,31.65,1084000,31.22
1-Apr-13,32.12,32.13,31.46,31.56,862700,31.13
28-Mar-13,31.9,32.22,31.74,32.15,1306300,31.71
27-Mar-13,31.62,31.94,31.39,31.92,1777900,31.48
26-Mar-13,31.71,31.96,31.69,31.93,1461300,31.49
25-Mar-13,31.94,32.02,31.35,31.59,1137800,31.16
22-Mar-13,31.92,31.99,31.56,31.7,1280800,31.27
21-Mar-13,32.25,32.59,31.61,31.67,2926600,31.24
20-Mar-13,31.71,32.12,31.5,31.88,932500,31.44
19-Mar-13,31.73,32.03,31.19,31.46,1407200,31.03
18-Mar-13,31.53,31.93,31.33,31.67,1210300,31.24
15-Mar-13,32.08,32.22,31.68,31.95,2440700,31.51
14-Mar-13,31.47,32.57,31.01,32.13,3559500,31.69
13-Mar-13,30.65,31.47,30.43,31.4,2888700,30.97
12-Mar-13,30.4,30.73,30.24,30.62,1593400,30.2
11-Mar-13,30.11,30.5,30.03,30.49,945300,29.96
8-Mar-13,30.24,30.31,29.7,30.16,1239600,29.64
7-Mar-13,29.64,30.36,29.58,29.96,2221400,29.44
6-Mar-13,29.32,29.8,29.26,29.56,1757800,29.05
5-Mar-13,28.68,29.45,28.62,29.18,2306600,28.68
4-Mar-13,28.23,28.43,27.92,28.37,1169400,27.88
1-Mar-13,28.3,28.48,27.88,28.27,1322400,27.78
28-Feb-13,28.46,28.75,28.33,28.5,1534300,28.01
27-Feb-13,27.65,28.5,27.65,28.43,1533000,27.94
26-Feb-13,27.87,27.96,27.48,27.72,2145800,27.24
25-Feb-13,28.34,28.66,27.65,27.66,2963000,27.18
22-Feb-13,27.8,28.21,27.78,28.13,1772400,27.64
21-Feb-13,28.02,28.06,27.5,27.61,1743800,27.13
20-Feb-13,28.69,28.77,27.9,28.07,2487700,27.59
19-Feb-13,27.6,28.98,27.57,28.63,3880800,28.14
15-Feb-13,27.93,28.03,27.43,27.52,1860500,27.05
14-Feb-13,27.83,28.09,27.25,27.84,2581900,27.36
13-Feb-13,27.75,28.09,27.27,27.28,3008400,26.81
12-Feb-13,27.82,28.16,27.76,27.91,1520200,27.43
11-Feb-13,27.1,28.08,27.1,27.49,2462700,27.02
8-Feb-13,27.26,27.45,27.11,27.23,1425400,26.76
7-Feb-13,27.36,27.47,26.95,27.16,1850600,26.69
6-Feb-13,26.46,27.35,26.45,27.33,2009200,26.86
5-Feb-13,26.53,26.82,26.36,26.64,1728200,26.18
4-Feb-13,26.78,26.84,26.41,26.53,2147000,26.07
1-Feb-13,27.45,27.68,26.5,26.79,3418100,26.33
31-Jan-13,27.66,27.75,27.44,27.65,1234100,27.17
30-Jan-13,27.96,27.98,27.69,27.74,1024600,27.26
29-Jan-13,27.96,28.09,27.78,27.96,1696900,27.48
28-Jan-13,27.75,28.08,27.66,27.99,1947400,27.51
25-Jan-13,27.44,27.68,27.37,27.62,958000,27.14
24-Jan-13,27.56,27.74,27.27,27.4,1069600,26.93
23-Jan-13,27.93,27.96,27.49,27.54,1595700,27.06
22-Jan-13,27.45,28.52,27.42,28.08,3646400,27.6
18-Jan-13,26.81,27.54,26.7,27.49,1880000,27.02
17-Jan-13,26.79,26.94,26.72,26.73,793800,26.27
16-Jan-13,26.78,26.87,26.65,26.69,912600,26.23
15-Jan-13,26.47,26.92,26.47,26.9,1019500,26.44
14-Jan-13,26.55,26.89,26.52,26.7,1192600,26.24
11-Jan-13,26.59,26.61,26.03,26.52,3103300,26.06
10-Jan-13,25.73,27.93,25.43,26.84,8101300,26.38
9-Jan-13,25.8,26.17,25.8,26,1501800,25.55
8-Jan-13,26.11,26.16,25.64,25.85,1772600,25.4
7-Jan-13,26.22,26.29,26.03,26.18,755100,25.73
4-Jan-13,26.18,26.39,25.94,26.32,2136200,25.87
