Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,54.60,54.74,54.08,54.45,727600,54.45
2013-12-30,54.06,54.74,54.06,54.44,866000,54.44
2013-12-27,54.35,54.64,53.92,54.18,1057200,54.18
2013-12-26,54.64,54.67,54.21,54.32,712100,54.32
2013-12-24,54.38,54.63,54.15,54.40,639400,54.40
2013-12-23,54.15,54.59,54.15,54.40,1121500,54.40
2013-12-20,53.04,54.26,52.83,53.90,2481500,53.90
2013-12-19,52.85,53.19,52.24,53.02,1506800,53.02
2013-12-18,52.37,53.11,51.63,53.10,1657500,53.10
2013-12-17,51.17,52.47,51.06,52.18,1722500,52.18
2013-12-16,51.27,51.74,51.14,51.24,832400,51.24
2013-12-13,51.01,51.44,50.75,51.07,1105800,51.07
2013-12-12,51.09,51.23,50.71,50.81,1520700,50.81
2013-12-11,51.53,51.83,51.14,51.25,1180200,51.25
2013-12-10,51.51,51.90,51.11,51.59,1096700,51.59
2013-12-09,51.42,51.91,51.12,51.66,1844600,51.66
2013-12-06,51.35,51.66,50.89,51.16,1565900,51.16
2013-12-05,51.36,51.49,50.73,50.85,1505000,50.85
2013-12-04,52.42,52.74,50.95,51.25,3475000,51.25
2013-12-03,51.51,52.85,51.27,52.78,2457000,52.78
2013-12-02,51.98,52.03,51.38,51.49,989700,51.49
2013-11-29,52.23,52.53,52.05,52.11,337300,52.11
2013-11-27,52.52,52.54,51.81,52.21,1371700,52.21
2013-11-26,52.00,52.72,51.77,52.52,1739200,52.52
2013-11-25,51.80,52.01,51.14,51.89,1647800,51.89
2013-11-22,50.86,51.94,50.85,51.58,1935800,51.58
2013-11-21,49.80,51.28,49.79,50.85,2893500,50.85
2013-11-20,50.52,50.66,49.54,49.75,2009500,49.75
2013-11-19,51.87,51.94,50.00,50.22,3134600,50.22
2013-11-18,52.79,52.83,51.33,51.52,1733800,51.52
2013-11-15,52.53,52.68,51.68,52.61,1640500,52.61
2013-11-14,52.21,52.80,52.21,52.31,1498800,52.31
2013-11-13,52.11,52.58,51.85,52.35,1652600,52.35
2013-11-12,52.66,52.80,52.10,52.37,1170700,52.37
2013-11-11,52.33,52.85,52.00,52.72,1256600,52.72
2013-11-08,52.44,53.05,52.10,52.85,1811200,52.85
2013-11-07,53.94,54.08,51.99,52.09,3196100,52.09
2013-11-06,54.32,54.50,53.47,54.08,1149600,54.08
2013-11-05,53.59,54.38,53.19,54.15,1594200,54.15
2013-11-04,53.26,53.90,52.88,53.76,1613700,53.76
2013-11-01,54.42,54.43,53.06,53.62,1620900,53.62
2013-10-31,54.15,54.63,53.89,54.27,1955500,54.27
2013-10-30,55.03,55.10,53.94,54.34,1507700,54.34
2013-10-29,54.43,55.13,54.12,54.94,2896900,54.94
2013-10-28,54.53,54.68,53.72,54.08,1931700,54.08
2013-10-25,53.34,54.82,52.39,54.77,4466900,54.77
2013-10-24,54.94,55.48,52.70,53.00,7345800,53.00
2013-10-23,53.62,53.68,52.05,52.21,3214800,52.21
2013-10-22,54.18,54.42,53.65,54.07,2069900,54.07
2013-10-21,54.19,54.49,53.61,53.87,1280500,53.87
2013-10-18,53.74,54.30,53.18,53.85,1782300,53.85
2013-10-17,53.04,53.65,53.03,53.52,1587000,53.52
2013-10-16,53.13,54.00,52.89,53.54,3351100,53.54
2013-10-15,53.28,53.42,52.55,52.62,1114400,52.62
2013-10-14,52.85,53.42,52.48,53.30,2152800,53.30
2013-10-11,52.77,52.89,52.09,52.83,1481700,52.83
2013-10-10,51.28,52.87,51.26,52.72,1849600,52.72
2013-10-09,50.82,51.01,49.93,50.57,1521300,50.57
2013-10-08,51.89,52.20,50.66,50.74,1350000,50.74
2013-10-07,51.77,52.22,51.45,51.75,1453700,51.75
2013-10-04,51.09,52.07,51.05,52.00,1559900,52.00
2013-10-03,51.41,51.77,50.85,51.20,1295700,51.20
2013-10-02,51.09,51.62,50.66,51.37,1191500,51.37
2013-10-01,51.33,51.95,51.18,51.60,1329800,51.60
2013-09-30,50.61,51.38,50.18,51.20,2665100,51.20
2013-09-27,51.40,51.54,51.03,51.14,984700,51.14
2013-09-26,52.24,52.30,51.41,51.62,1400500,51.62
2013-09-25,51.11,52.31,50.60,51.99,2912300,51.99
2013-09-24,48.65,51.63,48.64,51.00,6314200,51.00
2013-09-23,49.29,49.58,48.76,49.42,1393000,49.42
2013-09-20,49.83,50.31,49.29,49.30,1787400,49.30
2013-09-19,50.34,50.67,49.65,49.83,1135000,49.83
2013-09-18,49.93,50.34,49.59,50.22,981100,50.22
2013-09-17,50.37,50.43,49.82,49.93,1004800,49.93
2013-09-16,50.43,50.84,50.13,50.21,1433200,50.21
2013-09-13,50.36,50.45,49.61,49.85,1218100,49.85
2013-09-12,50.34,51.00,50.17,50.40,1978900,50.40
2013-09-11,49.95,50.25,49.61,50.21,1520400,50.21
2013-09-10,49.55,50.25,49.43,50.21,1828200,50.21
2013-09-09,49.31,49.58,48.93,49.29,893300,49.29
2013-09-06,49.50,49.72,48.74,49.16,1317700,49.16
2013-09-05,49.38,49.75,49.03,49.55,2177300,49.55
2013-09-04,46.86,49.48,46.60,49.47,3056100,49.47
2013-09-03,47.30,47.92,46.44,46.85,1376100,46.85
2013-08-30,47.30,47.68,46.47,46.67,999700,46.67
2013-08-29,46.27,47.68,46.20,47.22,1167000,47.22
2013-08-28,46.32,46.87,46.25,46.40,1498700,46.40
2013-08-27,47.44,47.57,46.35,46.39,1984800,46.39
2013-08-26,48.33,48.48,47.83,47.89,861500,47.89
2013-08-23,48.31,48.48,48.02,48.26,783000,48.26
2013-08-22,47.91,48.47,47.91,48.16,542100,48.16
2013-08-21,47.96,48.35,47.52,47.67,1076700,47.67
2013-08-20,47.96,48.78,47.63,48.25,1704100,48.25
2013-08-19,47.51,48.03,47.31,47.85,1333500,47.85
2013-08-16,47.11,48.02,47.08,47.84,1894600,47.84
2013-08-15,47.70,47.83,47.10,47.20,1744400,47.20
2013-08-14,48.34,48.74,48.18,48.23,1376800,48.23
2013-08-13,48.15,48.60,47.82,48.49,1012100,48.49
2013-08-12,47.61,48.23,47.50,47.98,1469300,47.98
2013-08-09,48.33,48.63,47.57,47.70,1551700,47.70
2013-08-08,48.69,48.90,47.98,48.49,1570900,48.49
2013-08-07,48.72,49.02,48.48,48.51,1224300,48.51
2013-08-06,49.43,49.72,48.68,48.85,1617700,48.85
2013-08-05,49.67,50.12,49.43,49.55,1121200,49.55
2013-08-02,50.50,50.61,49.85,50.13,1950600,50.13
2013-08-01,49.84,51.00,49.23,50.89,2791200,50.89
2013-07-31,49.98,49.99,49.12,49.22,1738400,49.22
2013-07-30,49.09,49.93,48.98,49.69,1593900,49.69
2013-07-29,49.36,49.36,48.51,48.75,1221500,48.75
