Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,83.53,84.17,82.94,83.9,1253900,83.62
30-Dec-13,83.01,83.99,82.74,83.59,802700,83.31
27-Dec-13,83.09,83.83,82.56,82.82,855500,82.54
26-Dec-13,83.02,83.35,82.26,83.08,735600,82.8
24-Dec-13,81.75,82.95,81.7,82.56,533700,82.28
23-Dec-13,83.45,83.5,82.1,82.63,1487500,82.06
20-Dec-13,82.8,83.52,81.94,82.68,3949900,82.1
19-Dec-13,82.15,82.24,81.2,82.1,2205900,81.53
18-Dec-13,83.28,83.3,80.59,82.1,4281900,81.53
17-Dec-13,82.4,84.7,81.71,83.4,3918800,82.82
16-Dec-13,79.8,81.84,79.55,81.66,3162600,81.09
13-Dec-13,79.65,79.8,78.38,79.05,2154600,78.5
12-Dec-13,78.34,79.41,77.75,78.86,2062100,78.31
11-Dec-13,79.57,79.57,77.78,77.85,2106100,77.31
10-Dec-13,78.51,79.56,76.87,79.33,1657200,78.78
9-Dec-13,78.84,79.89,78.02,78.8,2697900,78.25
6-Dec-13,77.8,79.16,77.32,78.91,1812000,78.36
5-Dec-13,77.36,77.69,76.33,76.78,1799200,76.25
4-Dec-13,76.72,78.79,76.33,77.57,2955800,77.03
3-Dec-13,75.15,75.54,74.41,75.53,1915400,75
2-Dec-13,74.45,76,74.38,75.44,1605000,74.92
29-Nov-13,76.47,76.85,74.81,75.04,874200,74.52
27-Nov-13,75.46,76.45,74.9,76.19,1341800,75.66
26-Nov-13,75.09,75.26,74.21,74.86,1441600,74.34
25-Nov-13,75.35,75.97,74.78,74.81,1430600,74.29
22-Nov-13,75.04,75.28,74.1,75.13,1716600,74.61
21-Nov-13,74.36,75.15,73.76,74.83,1756100,74.31
20-Nov-13,74.08,74.32,73.67,73.94,1368000,73.43
19-Nov-13,73.56,74.68,73.01,73.61,2002200,73.1
18-Nov-13,75.74,75.84,74.04,74.26,2228900,73.74
15-Nov-13,75.94,76.1,73.52,75.55,2592600,75.02
14-Nov-13,72.43,76.09,72.01,75.85,3573600,75.32
13-Nov-13,71.29,72.47,71.04,72.44,1476500,71.94
12-Nov-13,71.49,72.5,71.49,72.13,1634000,71.63
11-Nov-13,71.26,71.98,70.15,71.56,1200800,71.06
8-Nov-13,70.34,72.04,70.23,71.67,1543600,71.17
7-Nov-13,71.72,72.15,69.8,70.23,2245300,69.74
6-Nov-13,71.81,72.47,70.65,71.37,1387100,70.87
5-Nov-13,71.67,71.96,70.06,71.19,2132800,70.69
4-Nov-13,70.01,72.51,70.01,72.07,3099800,71.57
1-Nov-13,68.85,69.9,68.14,69.85,7861300,69.36
31-Oct-13,71.87,72.51,69.28,69.63,4259100,69.15
30-Oct-13,72.92,73.39,72.37,73.21,1462200,72.7
29-Oct-13,72.23,73.86,71.91,72.74,1743200,72.23
28-Oct-13,72.66,72.86,71.75,72.43,1871700,71.93
25-Oct-13,72.45,74.33,71.49,72.63,3249600,72.12
24-Oct-13,70.19,70.88,69.56,70.54,2344600,70.05
23-Oct-13,71.92,71.92,69.8,70.11,2151800,69.62
22-Oct-13,72.81,73.48,71.82,72.23,2104200,71.73
21-Oct-13,71.86,72.35,71.21,72.31,1796600,71.81
