Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,45.79,46.00,45.65,45.92,1215400,45.67
2013-12-30,45.32,45.75,45.23,45.64,1049100,45.39
2013-12-27,45.20,45.45,45.17,45.29,995400,45.04
2013-12-26,45.30,45.35,45.03,45.20,860300,44.95
2013-12-24,45.10,45.40,45.08,45.23,584000,44.98
2013-12-23,45.30,45.30,44.83,45.14,1912000,44.89
2013-12-20,44.26,44.90,44.17,44.71,3464900,44.46
2013-12-19,45.25,45.25,44.03,44.31,3440500,44.06
2013-12-18,44.29,45.19,44.19,45.19,3499900,44.94
2013-12-17,43.62,44.48,43.55,44.27,2659400,44.02
2013-12-16,43.55,43.92,43.39,43.64,2309400,43.40
2013-12-13,43.73,43.89,43.22,43.32,1680100,43.08
2013-12-12,43.86,44.00,43.31,43.41,3388200,43.17
2013-12-11,43.66,43.76,42.88,43.06,3297800,42.82
2013-12-10,44.10,44.26,43.49,43.67,3110600,43.43
2013-12-09,44.52,44.60,44.21,44.24,1704800,43.99
2013-12-06,44.58,44.69,44.21,44.35,1731900,44.10
2013-12-05,44.31,44.51,43.92,44.20,2045400,43.95
2013-12-04,44.12,44.85,44.09,44.39,2012000,44.14
2013-12-03,44.22,44.82,44.15,44.29,1792600,44.04
2013-12-02,44.25,44.51,44.07,44.28,2319000,44.03
2013-11-29,44.04,44.67,44.04,44.43,790100,44.18
2013-11-27,44.46,44.57,43.99,44.53,1912200,44.28
2013-11-26,44.41,44.72,44.31,44.50,1655300,44.25
2013-11-25,44.27,44.55,43.94,44.37,2603600,44.12
2013-11-22,44.04,44.24,43.71,43.98,3607100,43.74
2013-11-21,43.30,44.14,43.30,44.11,2377400,43.87
2013-11-20,43.17,43.61,43.10,43.21,2667800,42.97
2013-11-19,43.65,43.92,42.92,43.09,3696000,42.85
2013-11-18,43.84,44.08,43.60,43.77,2359500,43.53
2013-11-15,43.05,43.80,42.84,43.66,4163900,43.42
2013-11-14,44.42,44.60,42.89,42.99,7272300,42.75
2013-11-13,44.28,44.95,44.17,44.94,2114700,44.69
2013-11-12,44.07,44.64,44.04,44.57,2341600,44.32
2013-11-11,44.55,44.75,44.04,44.09,2817600,43.85
2013-11-08,44.50,44.66,44.14,44.63,2701700,44.38
2013-11-07,45.15,45.35,44.20,44.49,3965600,44.24
2013-11-06,45.15,45.29,44.87,45.09,2112900,44.84
2013-11-05,45.13,45.29,44.63,45.02,1820900,44.77
2013-11-04,45.21,45.40,44.95,45.38,2376200,45.13
2013-11-01,45.68,45.68,45.05,45.28,2569400,44.78
2013-10-31,45.13,45.68,45.02,45.43,3329700,44.93
2013-10-30,45.40,45.54,44.82,45.06,1702400,44.56
2013-10-29,44.71,45.40,44.57,45.40,2873900,44.90
2013-10-28,44.56,44.73,44.08,44.45,4309700,43.96
2013-10-25,45.07,45.09,44.54,44.64,2749600,44.15
2013-10-24,45.13,45.16,44.67,44.83,2846600,44.33
2013-10-23,45.95,46.05,44.14,44.88,7763700,44.38
2013-10-22,46.08,46.69,46.00,46.47,3874400,45.96
2013-10-21,45.54,46.10,45.46,46.07,3011500,45.56
2013-10-18,45.18,45.50,44.90,45.50,3959600,45.00
2013-10-17,45.40,45.85,44.10,45.39,10801500,44.89
2013-10-16,46.61,47.11,46.33,46.93,4824400,46.41
2013-10-15,47.35,47.45,46.23,46.37,4143300,45.86
2013-10-14,46.97,47.51,46.90,47.45,1801000,46.93
2013-10-11,46.67,47.59,46.45,47.28,2257300,46.76
2013-10-10,46.07,46.81,45.83,46.78,2057300,46.26
2013-10-09,45.94,45.98,45.11,45.69,3081800,45.19
2013-10-08,46.51,46.83,45.15,45.62,3032100,45.12
2013-10-07,46.24,46.91,46.02,46.41,1554000,45.90
2013-10-04,46.41,46.90,46.33,46.65,1934300,46.13
2013-10-03,46.69,46.88,46.06,46.46,2188800,45.95
2013-10-02,46.97,47.05,46.45,46.71,2182400,46.19
2013-10-01,46.68,47.50,46.64,47.26,2025400,46.74
2013-09-30,46.44,47.06,46.01,46.85,3302600,46.33
2013-09-27,46.43,46.71,46.29,46.54,2022800,46.03
2013-09-26,46.95,47.11,46.50,46.79,1163600,46.27
2013-09-25,46.73,47.10,46.41,46.68,2274700,46.16
2013-09-24,46.57,47.15,46.52,46.72,2141100,46.20
2013-09-23,47.09,47.29,46.12,46.60,3108300,46.09
2013-09-20,47.73,47.88,47.05,47.12,3477500,46.60
2013-09-19,47.83,48.06,47.46,47.76,3029500,47.23
2013-09-18,47.94,47.97,47.05,47.69,3043700,47.16
2013-09-17,47.72,48.12,47.69,47.99,2773000,47.46
2013-09-16,47.76,47.76,47.34,47.50,2881400,46.98
2013-09-13,47.25,47.32,46.84,47.27,2248400,46.75
2013-09-12,46.92,47.33,46.80,47.11,2457300,46.59
2013-09-11,46.86,47.18,46.50,46.96,1664600,46.44
2013-09-10,46.70,47.23,46.66,46.97,3136100,46.45
2013-09-09,46.32,46.57,46.03,46.33,2542300,45.82
2013-09-06,46.33,46.61,45.69,46.18,4788700,45.67
2013-09-05,45.93,46.21,45.90,46.13,2762200,45.62
2013-09-04,44.70,46.20,44.55,45.85,4865500,45.34
2013-09-03,43.99,44.86,43.99,44.62,3648400,44.13
2013-08-30,43.94,43.94,43.29,43.42,3058300,42.94
2013-08-29,43.39,44.10,43.25,44.02,2216100,43.53
2013-08-28,43.26,43.77,43.12,43.52,1617200,43.04
2013-08-27,43.94,43.94,43.04,43.11,3605700,42.63
2013-08-26,44.34,44.63,44.23,44.28,1452100,43.79
2013-08-23,44.37,44.37,43.82,44.19,2629300,43.70
2013-08-22,44.37,44.59,44.17,44.30,1421600,43.81
2013-08-21,44.26,44.75,43.96,44.33,2365800,43.84
2013-08-20,44.24,44.59,44.22,44.46,1370100,43.97
2013-08-19,44.59,44.96,44.27,44.29,2703700,43.80
2013-08-16,44.51,45.05,44.32,44.56,3464000,44.07
2013-08-15,44.18,44.71,43.86,44.03,3176900,43.54
2013-08-14,45.53,45.53,44.99,45.08,2286800,44.58
2013-08-13,45.57,45.77,45.00,45.47,2832800,44.97
2013-08-12,45.31,45.70,45.12,45.39,2832900,44.89
2013-08-09,45.42,45.64,45.14,45.30,1969200,44.80
2013-08-08,45.75,45.86,45.24,45.58,2594900,45.08
2013-08-07,45.54,45.90,45.25,45.59,3272600,45.09
2013-08-06,46.13,46.38,45.45,45.56,5280500,45.06
2013-08-05,46.25,46.42,45.98,46.13,3372400,45.62
2013-08-02,46.80,46.83,46.04,46.51,5156000,45.75
2013-08-01,46.79,47.18,46.79,47.15,4042600,46.38
2013-07-31,46.29,46.88,46.22,46.69,4148700,45.93
2013-07-30,45.73,46.42,45.71,46.24,4384600,45.48
2013-07-29,46.00,46.33,45.61,45.67,2775800,44.92
2013-07-26,45.95,46.23,45.69,46.18,2762300,45.42
2013-07-25,45.43,46.50,45.27,46.43,3501400,45.67
2013-07-24,46.23,46.39,45.22,45.51,3813200,44.77
2013-07-23,45.73,46.50,45.73,45.83,3150200,45.08
2013-07-22,46.18,46.22,45.48,45.91,3405600,45.16
2013-07-19,45.75,46.24,45.45,45.86,4654600,45.11
2013-07-18,45.00,46.54,44.55,45.83,11303300,45.08
2013-07-17,43.39,43.65,43.21,43.53,3974600,42.82
2013-07-16,43.32,43.88,43.25,43.29,5781100,42.58
2013-07-15,42.99,43.50,42.85,43.17,2691800,42.46
2013-07-12,42.73,43.37,42.26,42.98,5363100,42.28
2013-07-11,41.46,41.93,41.42,41.85,3273300,41.17
2013-07-10,40.07,41.23,40.07,41.16,3309200,40.49
2013-07-09,40.00,40.24,39.97,40.15,1829900,39.49
2013-07-08,40.53,40.70,39.53,39.81,2268200,39.16
2013-07-05,40.31,40.56,39.97,40.49,983600,39.83
2013-07-03,39.53,40.13,39.39,39.90,909800,39.25
2013-07-02,39.73,40.26,39.32,39.65,3238200,39.00
2013-07-01,39.77,40.40,39.57,39.91,3255700,39.26
2013-06-28,39.37,39.93,39.23,39.61,2820100,38.96
2013-06-27,39.67,39.87,39.47,39.61,1798400,38.96
2013-06-26,39.55,39.95,39.47,39.48,3611800,38.83
2013-06-25,39.10,39.30,38.64,39.18,3217400,38.54
2013-06-24,39.07,39.21,38.41,38.61,2890400,37.98
2013-06-21,38.73,39.03,38.29,38.98,4156500,38.34
2013-06-20,39.25,39.41,38.44,38.56,3193900,37.93
2013-06-19,40.26,40.46,39.76,39.76,3728300,39.11
2013-06-18,39.48,40.24,39.46,40.20,3111800,39.54
2013-06-17,39.12,39.67,39.11,39.49,3053400,38.84
