Date,Open,High,Low,Close,Volume,Adj Close
31-Dec-13,3.86,3.89,3.77,3.8,20008400,3.8
30-Dec-13,3.95,3.98,3.84,3.88,12516900,3.88
27-Dec-13,4.04,4.06,3.95,3.95,12033300,3.95
26-Dec-13,4.15,4.16,4.04,4.07,6772100,4.07
24-Dec-13,4.07,4.16,4.07,4.11,8151000,4.11
23-Dec-13,4,4.1,3.97,4.08,20453400,4.08
20-Dec-13,4.07,4.09,3.96,4,31894400,4
19-Dec-13,4.09,4.15,4.06,4.06,9594400,4.06
18-Dec-13,4.16,4.16,4.02,4.1,15031400,4.1
17-Dec-13,4.09,4.16,4.07,4.14,7344000,4.14
16-Dec-13,4.11,4.17,4.02,4.1,10280500,4.1
13-Dec-13,4.2,4.22,4.11,4.11,11078100,4.11
12-Dec-13,4.08,4.2,4.01,4.14,12648400,4.14
11-Dec-13,4.15,4.15,4.03,4.05,14009000,4.05
10-Dec-13,4,4.14,3.96,4.13,26283500,4.13
9-Dec-13,3.99,4.05,3.92,3.99,15041600,3.99
6-Dec-13,4.03,4.11,3.97,3.99,23039600,3.99
5-Dec-13,4.09,4.15,3.99,4.01,24489700,4.01
4-Dec-13,4.08,4.17,4,4.07,24991200,4.07
3-Dec-13,4.24,4.25,4.07,4.09,32069800,4.09
2-Dec-13,4.39,4.39,4.24,4.29,18958000,4.29
29-Nov-13,4.39,4.45,4.34,4.35,7462200,4.35
27-Nov-13,4.46,4.55,4.33,4.41,24871200,4.41
26-Nov-13,4.46,4.52,4.41,4.46,29362800,4.46
25-Nov-13,4.43,4.52,4.37,4.5,25065600,4.5
22-Nov-13,4.4,4.55,4.26,4.38,31264700,4.38
21-Nov-13,4.33,4.49,4.31,4.37,55369700,4.37
20-Nov-13,4.01,4.28,3.97,4.27,55790700,4.27
19-Nov-13,3.85,4.01,3.82,3.99,17265400,3.99
18-Nov-13,4.05,4.09,3.81,3.84,25592200,3.84
15-Nov-13,3.96,4.12,3.91,4.02,44039000,4.02
14-Nov-13,3.83,3.98,3.76,3.91,29262300,3.91
13-Nov-13,3.49,3.84,3.48,3.81,39273000,3.81
12-Nov-13,3.41,3.54,3.4,3.51,11476500,3.51
11-Nov-13,3.47,3.52,3.41,3.43,11145100,3.43
8-Nov-13,3.47,3.55,3.42,3.46,17269800,3.46
7-Nov-13,3.68,3.74,3.41,3.46,33771300,3.46
6-Nov-13,3.8,3.84,3.68,3.71,16585700,3.71
5-Nov-13,3.7,3.84,3.65,3.8,17605500,3.8
4-Nov-13,3.61,3.75,3.57,3.74,20031000,3.74
1-Nov-13,3.57,3.59,3.51,3.58,12621900,3.58
31-Oct-13,3.57,3.59,3.48,3.58,19331500,3.58
30-Oct-13,3.7,3.75,3.53,3.59,20194600,3.59
29-Oct-13,3.78,3.8,3.62,3.69,22473400,3.69
28-Oct-13,3.66,3.79,3.6,3.78,24453700,3.78
25-Oct-13,3.87,4.05,3.67,3.73,90347300,3.73
24-Oct-13,3.55,3.61,3.45,3.54,47910000,3.54
23-Oct-13,3.68,3.69,3.54,3.55,13412700,3.55
22-Oct-13,3.69,3.76,3.57,3.64,14309800,3.64
21-Oct-13,3.7,3.79,3.66,3.69,21248100,3.69
18-Oct-13,3.56,3.76,3.55,3.67,16452800,3.67
17-Oct-13,3.55,3.65,3.5,3.58,32042800,3.58
16-Oct-13,3.54,3.62,3.53,3.59,10035600,3.59
15-Oct-13,3.56,3.66,3.5,3.52,12727900,3.52
14-Oct-13,3.54,3.58,3.5,3.55,19703300,3.55
11-Oct-13,3.54,3.69,3.52,3.61,13994600,3.61
10-Oct-13,3.54,3.6,3.51,3.53,17174100,3.53
9-Oct-13,3.56,3.57,3.32,3.48,26814300,3.48
8-Oct-13,3.71,3.75,3.5,3.54,20594300,3.54
7-Oct-13,3.7,3.77,3.65,3.7,13005500,3.7
4-Oct-13,3.7,3.79,3.69,3.76,12653600,3.76
3-Oct-13,3.82,3.87,3.66,3.67,21988700,3.67
2-Oct-13,3.82,3.95,3.79,3.82,35828400,3.82
1-Oct-13,3.67,3.86,3.64,3.84,30999300,3.84
30-Sep-13,3.63,3.85,3.56,3.67,31480200,3.67
27-Sep-13,3.52,3.8,3.51,3.78,33258800,3.78
26-Sep-13,3.81,3.87,3.48,3.61,53287000,3.61
25-Sep-13,3.64,3.9,3.6,3.79,53979300,3.79
24-Sep-13,3.57,3.69,3.52,3.61,37484100,3.61
23-Sep-13,3.46,3.56,3.41,3.52,23500700,3.52
20-Sep-13,3.47,3.54,3.43,3.48,33477600,3.48
19-Sep-13,3.25,3.5,3.25,3.47,45147300,3.47
18-Sep-13,3.28,3.4,3.21,3.27,28338700,3.27
17-Sep-13,3.1,3.3,3.08,3.27,31154700,3.27
16-Sep-13,3.1,3.11,3.07,3.09,21219700,3.09
13-Sep-13,3.05,3.11,2.98,3.08,14304200,3.08
12-Sep-13,3.08,3.12,3.02,3.02,14748000,3.02
11-Sep-13,3.01,3.04,2.97,3,16877600,3
10-Sep-13,3.12,3.13,3,3.03,13509800,3.03
9-Sep-13,3.03,3.12,3.02,3.1,22672100,3.1
6-Sep-13,3.02,3.05,2.98,3.02,28167500,3.02
5-Sep-13,2.93,3.01,2.9,3,14844300,3
4-Sep-13,2.84,2.96,2.84,2.92,15079500,2.92
3-Sep-13,2.86,2.89,2.84,2.87,7844900,2.87
30-Aug-13,2.88,2.89,2.81,2.83,7101400,2.83
29-Aug-13,2.88,2.91,2.87,2.91,7580400,2.91
28-Aug-13,2.79,2.9,2.79,2.88,8491300,2.88
27-Aug-13,2.82,2.89,2.79,2.79,9012300,2.79
26-Aug-13,2.86,2.92,2.85,2.9,9502100,2.9
23-Aug-13,2.83,2.91,2.79,2.89,11956200,2.89
22-Aug-13,2.77,2.85,2.76,2.81,12712800,2.81
21-Aug-13,2.75,2.8,2.72,2.75,13762600,2.75
20-Aug-13,2.79,2.85,2.74,2.75,23261700,2.75
19-Aug-13,2.88,2.9,2.83,2.83,9492200,2.83
16-Aug-13,2.87,2.91,2.83,2.9,14206300,2.9
15-Aug-13,2.94,2.96,2.87,2.88,22030300,2.88
14-Aug-13,2.91,3.02,2.9,2.97,23088700,2.97
13-Aug-13,2.97,2.97,2.88,2.91,12173600,2.91
12-Aug-13,2.97,3,2.93,2.94,13901200,2.94
9-Aug-13,2.91,3.04,2.9,3,25090900,3
8-Aug-13,2.88,2.92,2.82,2.87,20035700,2.87
7-Aug-13,2.9,2.92,2.85,2.85,21283400,2.85
6-Aug-13,2.92,2.94,2.89,2.92,14046900,2.92
5-Aug-13,3,3.02,2.91,2.94,17147500,2.94
2-Aug-13,3.02,3.04,2.96,3,12048900,3
1-Aug-13,3,3.05,2.98,3.03,22725900,3.03
31-Jul-13,2.97,3.02,2.92,2.98,19731200,2.98
30-Jul-13,3.02,3.05,2.93,2.97,22536800,2.97
29-Jul-13,3,3.11,2.99,3.02,20769700,3.02
26-Jul-13,2.94,3.02,2.85,3.01,80413000,3.01
25-Jul-13,3.43,3.62,3.38,3.5,88910300,3.5
24-Jul-13,3.26,3.4,3.23,3.28,20144000,3.28
23-Jul-13,3.33,3.34,3.22,3.27,17986300,3.27
22-Jul-13,3.41,3.42,3.29,3.3,14631900,3.3
19-Jul-13,3.42,3.46,3.31,3.36,13728000,3.36
18-Jul-13,3.47,3.52,3.4,3.42,13207200,3.42
17-Jul-13,3.44,3.51,3.43,3.46,13742000,3.46
16-Jul-13,3.6,3.6,3.45,3.46,17968900,3.46
15-Jul-13,3.5,3.6,3.45,3.55,16689200,3.55
12-Jul-13,3.56,3.64,3.45,3.5,29994200,3.5
11-Jul-13,3.43,3.54,3.41,3.54,28672200,3.54
10-Jul-13,3.39,3.45,3.36,3.39,19541400,3.39
9-Jul-13,3.3,3.34,3.15,3.34,21651500,3.34
8-Jul-13,3.45,3.46,3.28,3.29,26459700,3.29
5-Jul-13,3.48,3.5,3.39,3.43,36667300,3.43
3-Jul-13,3.39,3.48,3.32,3.42,49076500,3.42
2-Jul-13,3.44,3.48,3.21,3.27,98833000,3.27
1-Jul-13,2.77,3.14,2.76,3.07,55372900,3.07
28-Jun-13,2.8,2.84,2.71,2.78,37174900,2.78
27-Jun-13,2.79,2.86,2.78,2.86,9307500,2.86
26-Jun-13,2.73,2.83,2.73,2.8,11026700,2.8
25-Jun-13,2.59,2.78,2.57,2.75,14529100,2.75
24-Jun-13,2.64,2.65,2.5,2.58,19203700,2.58
21-Jun-13,2.8,2.82,2.65,2.71,28303500,2.71
20-Jun-13,2.85,2.9,2.85,2.86,7725800,2.86
19-Jun-13,2.88,2.9,2.86,2.89,7029600,2.89
18-Jun-13,2.86,2.91,2.86,2.89,8365100,2.89
17-Jun-13,2.82,2.9,2.82,2.87,9052200,2.87
14-Jun-13,2.78,2.84,2.78,2.82,5469600,2.82
13-Jun-13,2.8,2.81,2.76,2.8,7248400,2.8
12-Jun-13,2.89,2.9,2.8,2.82,10162000,2.82
11-Jun-13,2.86,2.9,2.81,2.88,11685300,2.88
10-Jun-13,2.81,2.93,2.8,2.86,14297900,2.86
7-Jun-13,2.78,2.85,2.76,2.84,17713600,2.84
6-Jun-13,2.85,2.92,2.73,2.85,34758300,2.85
5-Jun-13,3.02,3.05,2.85,2.87,36728500,2.87
4-Jun-13,3.04,3.1,2.95,3.05,38330000,3.05
3-Jun-13,3.41,3.44,2.87,2.99,65058200,2.99
31-May-13,3.39,3.44,3.38,3.4,18350700,3.4
30-May-13,3.43,3.53,3.4,3.43,17358200,3.43
29-May-13,3.38,3.44,3.35,3.42,14264300,3.42
28-May-13,3.42,3.47,3.36,3.4,18407200,3.4
24-May-13,3.34,3.43,3.33,3.39,14327600,3.39
23-May-13,3.3,3.4,3.25,3.39,19909100,3.39
22-May-13,3.44,3.53,3.35,3.4,25076900,3.4
21-May-13,3.4,3.59,3.38,3.45,25328700,3.45
20-May-13,3.39,3.5,3.38,3.4,11684600,3.4
17-May-13,3.4,3.46,3.35,3.38,13719700,3.38
16-May-13,3.5,3.55,3.36,3.37,23979300,3.37
15-May-13,3.34,3.63,3.31,3.48,55943000,3.48
14-May-13,3.47,3.49,3.3,3.34,23028900,3.34
13-May-13,3.2,3.5,3.19,3.47,39652600,3.47
10-May-13,3.21,3.24,3.18,3.23,9223100,3.23
9-May-13,3.23,3.29,3.19,3.21,10871800,3.21
8-May-13,3.13,3.27,3.12,3.26,16081100,3.26
7-May-13,3.2,3.22,3.1,3.13,19566000,3.13
6-May-13,3.17,3.23,3.17,3.21,12741300,3.21
3-May-13,3.2,3.23,3.17,3.22,12542200,3.22
2-May-13,3.21,3.23,3.19,3.2,10798000,3.2
1-May-13,3.18,3.22,3.16,3.18,11271400,3.18
30-Apr-13,3.27,3.27,3.18,3.19,24690500,3.19
29-Apr-13,3.38,3.41,3.22,3.27,22238000,3.27
26-Apr-13,3.16,3.42,3.15,3.35,52450500,3.35
25-Apr-13,3.02,3.16,3.01,3.13,59639100,3.13
24-Apr-13,3.2,3.35,3.14,3.35,51929400,3.35
23-Apr-13,3.26,3.26,3.14,3.18,23646000,3.18
22-Apr-13,3.25,3.29,3.16,3.23,13230600,3.23
19-Apr-13,3.21,3.22,3.09,3.19,13104500,3.19
18-Apr-13,3.22,3.26,3.05,3.18,28183200,3.18
17-Apr-13,3.27,3.35,3.17,3.22,15534800,3.22
16-Apr-13,3.28,3.33,3.25,3.3,13189700,3.3
15-Apr-13,3.39,3.4,3.21,3.22,23498300,3.22
12-Apr-13,3.4,3.49,3.37,3.42,11738200,3.42
11-Apr-13,3.48,3.5,3.4,3.41,12880600,3.41
10-Apr-13,3.41,3.53,3.41,3.45,15379200,3.45
9-Apr-13,3.44,3.49,3.37,3.39,15635600,3.39
8-Apr-13,3.54,3.57,3.43,3.47,23932300,3.47
5-Apr-13,3.38,3.62,3.31,3.55,42590200,3.55
4-Apr-13,3.5,3.5,3.35,3.45,31554000,3.45
3-Apr-13,3.4,3.63,3.3,3.53,97838500,3.53
2-Apr-13,3.2,3.24,3.05,3.07,26052300,3.07
1-Apr-13,3.37,3.38,3.13,3.16,25553100,3.16
28-Mar-13,3.39,3.4,3.33,3.36,9379700,3.36
27-Mar-13,3.33,3.37,3.31,3.35,11826300,3.35
26-Mar-13,3.41,3.45,3.31,3.36,18496000,3.36
25-Mar-13,3.46,3.52,3.38,3.41,16147600,3.41
22-Mar-13,3.4,3.44,3.4,3.42,11178900,3.42
21-Mar-13,3.36,3.45,3.35,3.35,18239000,3.35
20-Mar-13,3.37,3.41,3.27,3.34,31746300,3.34
19-Mar-13,3.56,3.62,3.41,3.47,24103400,3.47
18-Mar-13,3.51,3.61,3.45,3.51,24600200,3.51
15-Mar-13,3.73,3.74,3.57,3.62,24934500,3.62
14-Mar-13,3.68,3.78,3.62,3.7,28909900,3.7
13-Mar-13,3.73,3.73,3.57,3.64,30042000,3.64
12-Mar-13,4.02,4.03,3.66,3.73,76974800,3.73
11-Mar-13,3.7,4,3.67,3.93,90451900,3.93
8-Mar-13,3.56,3.6,3.52,3.57,17244900,3.57
7-Mar-13,3.52,3.59,3.49,3.53,18864900,3.53
6-Mar-13,3.59,3.64,3.48,3.52,22188200,3.52
5-Mar-13,3.63,3.65,3.48,3.54,33052300,3.54
4-Mar-13,3.53,3.67,3.5,3.64,47933200,3.64
1-Mar-13,3.34,3.48,3.31,3.43,27153200,3.43
28-Feb-13,3.51,3.59,3.36,3.38,45774400,3.38
27-Feb-13,3.44,3.66,3.41,3.52,86332000,3.52
26-Feb-13,3.42,3.54,3.26,3.36,59322300,3.36
25-Feb-13,3.49,3.69,3.4,3.43,103195100,3.43
22-Feb-13,3.06,3.21,3.03,3.19,38503100,3.19
21-Feb-13,3.02,3.05,2.84,2.96,48264400,2.96
20-Feb-13,3.27,3.3,3.03,3.08,31044400,3.08
19-Feb-13,3.27,3.28,3.23,3.25,15499400,3.25
15-Feb-13,3.31,3.34,3.17,3.2,27225800,3.2
14-Feb-13,3.19,3.28,3.12,3.25,35212200,3.25
13-Feb-13,3.3,3.4,3.15,3.17,56992300,3.17
12-Feb-13,3.73,3.75,3.24,3.24,90665000,3.24
11-Feb-13,3.55,3.75,3.46,3.67,98777900,3.67
8-Feb-13,3.12,3.55,3.12,3.43,99140400,3.43
7-Feb-13,2.96,3.13,2.86,3.09,52217700,3.09
6-Feb-13,2.9,3.12,2.76,2.99,94133800,2.99
5-Feb-13,2.74,2.8,2.66,2.74,58873400,2.74
4-Feb-13,2.63,2.66,2.54,2.56,12801200,2.56
1-Feb-13,2.75,2.78,2.62,2.66,17748900,2.66
31-Jan-13,2.55,2.73,2.54,2.71,18879500,2.71
30-Jan-13,2.58,2.65,2.52,2.53,16902400,2.53
29-Jan-13,2.81,2.82,2.58,2.6,38404200,2.6
28-Jan-13,2.51,2.85,2.5,2.84,56202700,2.84
25-Jan-13,2.47,2.53,2.45,2.49,11005400,2.49
24-Jan-13,2.45,2.54,2.44,2.47,12726800,2.47
23-Jan-13,2.46,2.5,2.44,2.45,9911900,2.45
22-Jan-13,2.44,2.46,2.4,2.42,17204500,2.42
18-Jan-13,2.48,2.53,2.43,2.45,9339600,2.45
17-Jan-13,2.6,2.6,2.47,2.49,14353100,2.49
16-Jan-13,2.55,2.63,2.54,2.56,12842500,2.56
15-Jan-13,2.63,2.67,2.55,2.59,12587700,2.59
14-Jan-13,2.64,2.7,2.61,2.62,23849100,2.62
11-Jan-13,2.5,2.63,2.47,2.59,34471600,2.59
10-Jan-13,2.46,2.53,2.46,2.48,14035800,2.48
9-Jan-13,2.5,2.54,2.42,2.43,11538900,2.43
8-Jan-13,2.59,2.62,2.48,2.5,14958100,2.5
7-Jan-13,2.67,2.76,2.62,2.62,31078800,2.62
