Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,27.84,28.09,27.80,28.03,27069500,27.79
2013-12-23,27.43,27.96,27.27,27.83,22192200,27.59
2013-12-16,26.94,27.47,26.83,27.36,52190400,27.12
2013-12-09,26.93,27.39,26.48,26.84,34509100,26.39
2013-12-02,26.65,26.98,26.20,26.94,33229200,26.49
2013-11-25,27.14,27.17,26.63,26.66,28250000,26.22
2013-11-18,27.28,27.50,26.76,27.08,31500300,26.63
2013-11-11,27.02,27.43,26.75,27.20,35999000,26.75
2013-11-04,26.59,27.19,26.26,27.05,41794500,26.60
2013-10-28,25.88,26.64,25.76,26.54,41743000,26.10
2013-10-21,25.87,26.35,25.64,25.88,41134700,25.45
2013-10-14,24.21,25.75,24.13,25.55,44914800,25.13
2013-10-07,23.84,24.49,23.50,24.40,35764300,23.99
2013-09-30,23.88,24.35,23.82,24.05,33866500,23.65
2013-09-23,24.20,24.54,23.94,24.05,32780000,23.65
2013-09-16,24.06,24.91,23.93,24.01,48261900,23.61
2013-09-09,23.25,24.20,23.18,23.78,29650400,23.21
2013-09-03,23.31,23.45,22.92,23.16,37678300,22.60
2013-08-26,23.74,23.79,23.04,23.14,34916900,22.58
2013-08-19,23.90,23.96,23.56,23.78,29258100,23.21
2013-08-12,24.14,24.30,23.86,23.95,32032200,23.37
2013-08-05,24.57,24.60,24.09,24.25,22398100,23.66
2013-07-29,24.53,24.87,24.36,24.70,30680800,24.10
2013-07-22,24.77,24.92,24.50,24.65,32533100,24.06
2013-07-15,23.73,24.95,23.34,24.72,49210300,24.12
2013-07-08,23.36,24.00,23.27,23.76,32271100,23.19
2013-07-01,23.21,23.64,22.76,23.24,31873300,22.68
2013-06-24,23.12,23.48,22.76,23.19,38930500,22.63
2013-06-17,23.75,24.45,23.20,23.36,57177100,22.80
2013-06-10,23.88,23.92,23.34,23.52,34885600,22.77
2013-06-03,23.37,23.95,23.10,23.86,44078900,23.10
2013-05-28,23.77,23.84,23.31,23.32,41288500,22.58
2013-05-20,23.46,24.13,23.43,23.53,44122600,22.78
2013-05-13,22.86,23.48,22.62,23.46,36818000,22.71
2013-05-06,22.56,23.10,22.32,22.90,32368900,22.17
2013-04-29,22.31,22.85,22.00,22.57,36592600,21.85
2013-04-22,21.67,22.40,21.11,22.21,58660100,21.50
2013-04-15,23.28,23.30,21.61,21.75,55030400,21.06
2013-04-08,23.05,23.72,22.83,23.46,31250500,22.71
2013-04-01,23.03,23.40,22.76,22.93,34214800,22.20
2013-03-25,23.45,23.48,22.85,23.12,33170300,22.38
2013-03-18,23.17,23.80,23.13,23.37,35650800,22.63
2013-03-11,23.69,23.76,23.33,23.44,37835900,22.69
2013-03-04,23.15,23.90,23.03,23.77,28926500,23.01
2013-02-25,23.50,23.53,22.81,23.19,40710800,22.45
2013-02-19,23.42,23.75,23.12,23.39,38743400,22.64
2013-02-11,22.49,23.55,22.35,23.29,46448500,22.36
2013-02-04,22.41,22.62,22.27,22.50,34498100,21.61
2013-01-28,22.44,22.64,22.18,22.62,39634900,21.72
2013-01-22,22.18,22.31,21.75,22.29,47826300,21.40
2013-01-14,21.18,22.19,21.01,22.04,54826000,21.16
2013-01-07,21.16,21.24,20.68,21.13,35304100,20.29
2012-12-31,20.29,21.54,20.26,21.20,45796500,20.36
2012-12-24,20.79,20.96,20.42,20.44,28597100,19.63
2012-12-17,21.69,21.95,20.56,20.88,70719700,20.05
2012-12-10,21.43,21.95,21.36,21.62,39455500,20.57
2012-12-03,21.18,21.48,20.71,21.46,35913000,20.42
2012-11-26,20.88,21.36,20.50,21.13,36203100,20.11
2012-11-19,20.41,21.04,20.37,21.04,35401500,20.02
2012-11-12,21.04,21.14,19.87,20.15,45095400,19.17
2012-11-05,21.20,21.78,20.70,21.00,37812800,19.98
2012-10-31,21.26,21.68,20.97,21.31,44295200,20.28
2012-10-22,21.86,21.95,21.03,21.11,54784900,20.09
2012-10-15,22.54,23.08,21.87,22.03,48908100,20.96
2012-10-08,22.87,22.99,22.41,22.48,30655700,21.39
2012-10-01,22.73,23.18,22.71,23.12,39886900,22.00
