Date,Open,High,Low,Close,Volume,Adj Close
2014-02-28,23.15,23.29,21.84,21.84,7900,21.64
2014-02-27,22.93,23.31,22.68,22.76,9400,22.55
2014-02-26,22.62,22.95,22.53,22.57,8500,22.36
2014-02-25,23.00,23.00,22.71,22.79,2600,22.58
2014-02-24,22.94,23.22,22.76,23.00,4900,22.79
2014-02-21,23.49,23.49,23.03,23.12,6600,22.91
2014-02-20,22.71,23.23,22.71,23.02,20900,22.81
2014-02-19,23.51,23.83,23.13,23.44,9100,23.22
2014-02-18,23.50,23.60,23.32,23.60,14600,23.38
2014-02-14,23.04,23.38,22.96,23.25,13900,23.03
2014-02-13,22.51,22.73,22.50,22.66,7700,22.45
2014-02-12,22.75,22.87,22.59,22.85,7300,22.64
2014-02-11,22.30,22.60,21.81,22.50,6000,22.29
2014-02-10,21.95,21.99,21.59,21.99,37400,21.79
2014-02-07,21.67,22.05,21.65,21.89,16200,21.69
2014-02-06,21.09,21.58,20.59,21.43,4700,21.23
2014-02-05,20.85,21.05,20.85,20.99,6900,20.80
2014-02-04,20.84,21.03,20.61,21.03,5800,20.83
2014-02-03,21.00,21.04,20.51,20.51,7600,20.32
2014-01-31,21.08,21.26,21.08,21.15,3300,20.95
2014-01-30,21.46,21.52,21.02,21.29,22800,21.09
2014-01-29,21.53,21.57,21.33,21.39,10400,21.19
2014-01-28,21.96,22.19,21.38,21.67,5500,21.47
2014-01-27,21.35,21.48,21.00,21.20,24300,21.00
2014-01-24,21.70,21.70,21.15,21.23,10300,21.03
2014-01-23,21.54,21.97,21.54,21.75,10100,21.55
2014-01-22,22.26,22.30,22.18,22.30,5200,22.09
2014-01-21,22.69,22.69,22.12,22.32,11800,22.11
2014-01-17,22.50,22.63,22.44,22.55,5800,22.34
2014-01-16,22.39,22.72,22.16,22.61,20300,22.40
2014-01-15,21.59,22.21,21.59,22.19,8100,21.98
2014-01-14,21.28,21.64,21.28,21.50,8800,21.30
2014-01-13,21.41,21.59,21.01,21.43,23400,21.23
2014-01-10,21.14,21.47,21.11,21.38,9700,21.18
2014-01-09,21.33,21.33,21.03,21.21,7700,21.01
2014-01-08,21.50,21.56,21.39,21.43,5500,21.23
2014-01-07,21.76,21.76,21.43,21.43,17200,21.23
2014-01-06,22.01,22.01,21.50,21.70,26300,21.50
2014-01-03,22.26,22.34,21.74,22.20,20600,21.99
2014-01-02,22.26,22.41,22.18,22.29,24400,22.08
2013-12-31,22.14,22.51,22.10,22.27,46400,22.06
2013-12-30,22.13,22.24,21.99,22.23,29300,22.02
2013-12-27,21.58,22.00,21.58,21.99,14100,21.79
2013-12-26,21.74,21.74,21.25,21.40,10600,21.20
2013-12-24,21.21,21.47,21.12,21.47,9600,21.27
2013-12-23,21.27,21.79,20.90,21.18,27300,20.98
2013-12-20,20.96,21.38,20.96,21.24,16200,21.04
2013-12-19,20.87,21.10,20.72,20.97,28700,20.78
2013-12-18,20.59,20.89,20.59,20.82,4700,20.63
2013-12-17,20.70,20.86,20.69,20.69,6900,20.46
2013-12-16,20.80,21.00,20.75,20.77,32000,20.54
2013-12-13,20.54,20.78,20.51,20.78,6100,20.55
2013-12-12,20.61,20.88,20.43,20.64,13300,20.41
2013-12-11,20.87,20.90,20.52,20.65,11100,20.42
2013-12-10,21.19,21.25,20.88,20.88,14300,20.65
2013-12-09,20.80,20.99,20.80,20.89,2500,20.66
2013-12-06,20.96,21.25,20.79,20.79,3800,20.56
2013-12-05,20.32,20.77,20.32,20.71,45800,20.48
2013-12-04,20.63,20.77,20.49,20.77,24300,20.54
2013-12-03,20.73,20.77,20.55,20.57,5500,20.35
2013-12-02,21.17,21.17,20.75,20.75,9200,20.52
2013-11-29,21.10,21.36,21.10,21.13,4800,20.90
2013-11-27,21.06,21.10,20.95,21.03,3500,20.80
2013-11-26,21.13,21.13,20.97,21.03,16100,20.80
2013-11-25,21.30,21.30,21.23,21.23,5400,21.00
2013-11-22,21.55,21.55,21.33,21.38,2000,21.15
2013-11-21,21.45,21.54,21.08,21.45,5800,21.22
2013-11-20,21.90,21.90,21.45,21.45,4400,21.22
2013-11-19,21.73,21.81,21.53,21.67,10500,21.43
2013-11-18,21.85,21.90,21.77,21.81,6900,21.57
2013-11-15,21.64,21.95,21.64,21.95,5100,21.71
2013-11-14,21.43,21.81,21.25,21.81,6900,21.57
2013-11-13,21.27,21.57,21.12,21.57,20800,21.33
