Date,Open,High,Low,Close,Volume,Adj Close
12/31/2013,184.07,184.69,183.93,184.69,86119900,183.88
12/30/2013,183.87,184.02,183.58,183.82,56857000,183.01
12/27/2013,184.1,184.18,183.66,183.85,61814000,183.04
12/26/2013,183.34,183.96,183.32,183.86,63365000,183.05
12/24/2013,182.54,183.01,182.53,182.93,45368800,182.13
12/23/2013,182.45,182.64,182.07,182.53,85598000,181.73
12/20/2013,180.69,181.99,180.57,181.56,197087000,180.76
12/19/2013,181.18,181.7,180.71,181.49,136531200,179.72
12/18/2013,178.92,181.73,177.32,181.7,234906000,179.92
12/17/2013,179.38,179.41,178.25,178.65,89886000,176.9
12/16/2013,178.95,179.81,178.9,179.22,96195000,177.47
12/13/2013,178.5,178.66,177.77,178.11,107808000,176.37
12/12/2013,178.64,178.86,177.76,178.13,115565000,176.39
12/11/2013,180.82,180.85,178.5,178.72,130591000,176.97
12/10/2013,180.98,181.36,180.64,180.75,80976000,178.98
12/9/2013,181.47,181.67,181.16,181.4,70124000,179.63
12/6/2013,180.67,181.11,180.15,180.94,127728000,179.17
12/5/2013,179.41,179.74,178.77,178.94,106934000,177.19
12/4/2013,179.1,180.48,178.35,179.73,123033000,177.97
12/3/2013,179.94,180.39,179.17,179.75,116563000,177.99
12/2/2013,181.09,181.43,180.25,180.53,99726000,178.77
11/29/2013,181.32,181.75,180.8,181,55870900,179.23
11/27/2013,180.87,181.24,180.65,181.12,58800000,179.35
11/26/2013,180.72,181.22,180.41,180.68,86994000,178.91
11/25/2013,181.13,181.17,180.37,180.63,79486000,178.87
11/22/2013,179.98,180.83,179.77,180.81,81296000,179.04
11/21/2013,178.97,180.05,178.86,179.91,92841000,178.15
11/20/2013,179.39,179.93,177.98,178.47,124909000,176.73
11/19/2013,179.33,179.87,178.72,179.03,93891000,177.28
11/18/2013,180.35,180.5,179.02,179.42,104796000,177.67
11/15/2013,179.56,180.12,179.33,180.05,102818000,178.29
11/14/2013,178.54,179.42,178.25,179.27,103435000,177.52
11/13/2013,176.09,178.43,176.09,178.38,103844000,176.64
11/12/2013,176.94,177.36,176.37,176.96,83990000,175.23
11/11/2013,177.12,177.53,176.91,177.32,62614000,175.59
11/8/2013,174.87,177.31,174.85,177.29,136713000,175.56
11/7/2013,177.5,177.64,174.76,174.93,157000000,173.22
11/6/2013,177.03,177.5,176.54,177.17,87348000,175.44
11/5/2013,176.14,176.75,175.57,176.27,85825000,174.55
11/4/2013,176.69,176.9,175.98,176.83,85677000,175.1
11/1/2013,176.02,176.61,175.22,176.21,142805000,174.49
10/31/2013,176.15,176.89,175.53,175.79,133795000,174.07
10/30/2013,177.38,177.51,175.66,176.29,140002000,174.57
10/29/2013,176.63,177.24,176.38,177.17,87401000,175.44
10/28/2013,175.89,176.47,175.7,176.23,84979000,174.51
10/25/2013,175.51,176,175.17,175.95,93625000,174.23
10/24/2013,174.92,175.37,174.51,175.15,70350000,173.44
10/23/2013,174.81,174.89,173.96,174.57,105484000,172.86
10/22/2013,174.91,175.93,174.43,175.41,126663000,173.7
10/21/2013,174.45,174.75,174.01,174.4,104104000,172.7
10/18/2013,173.86,174.51,173.51,174.39,138316000,172.69
10/17/2013,171.37,173.32,171.34,173.22,129389000,171.53
10/16/2013,170.72,172.16,170.64,172.07,161676000,170.39
10/15/2013,170.51,171.15,169.47,169.7,155485000,168.04
10/14/2013,169.21,171.08,169.08,170.94,112106000,169.27
10/11/2013,168.91,170.32,168.77,170.26,105040000,168.6
10/10/2013,167.29,169.26,167.23,169.17,195955000,167.52
10/9/2013,165.8,166.2,164.53,165.6,168973000,163.98
10/8/2013,167.4,167.62,165.36,165.48,178015000,163.86
10/7/2013,167.42,168.45,167.25,167.43,96295000,165.79
10/4/2013,167.75,169.06,167.53,168.89,96878000,167.24
10/3/2013,168.79,168.94,166.84,167.62,176698000,165.98
10/2/2013,168.35,169.34,167.83,169.18,113350000,167.53
10/1/2013,168.14,169.5,167.97,169.34,127160000,167.69
9/30/2013,167.48,168.54,167.15,168.01,143937000,166.37
9/27/2013,168.84,169.14,168.47,168.91,99141800,167.26
9/26/2013,169.32,170.17,169.05,169.69,77146900,168.03
9/25/2013,169.64,169.98,168.89,169.04,117306500,167.39
9/24/2013,169.9,170.53,169.21,169.53,106333100,167.87
9/23/2013,170.49,170.65,169.39,169.93,104616500,168.27
9/20/2013,172.33,172.33,170.58,170.72,132867100,169.05
9/19/2013,173.52,173.6,172.59,172.76,146616900,170.24
9/18/2013,171.01,173.52,170.58,173.05,203460600,170.53
9/17/2013,170.46,171.11,170.46,171.07,82523300,168.58
9/16/2013,171.16,171.24,170.04,170.31,106299200,167.83
9/13/2013,169.13,169.46,168.74,169.33,72727800,166.86
9/12/2013,169.34,169.56,168.72,168.95,83209000,166.49
9/11/2013,168.64,169.4,168.35,169.4,94545900,166.93
9/10/2013,168.64,168.9,168.26,168.87,105847200,166.41
9/9/2013,166.45,167.73,166.45,167.63,87559300,165.19
9/6/2013,166.51,166.98,164.48,166.04,159756500,163.62
9/5/2013,165.85,166.4,165.73,165.96,63090500,163.54
9/4/2013,164.43,166.03,164.13,165.75,97389400,163.33
9/3/2013,165.23,165.58,163.7,164.39,142375100,161.99
8/30/2013,164.51,164.53,163.17,163.65,134928900,161.27
8/29/2013,163.55,165.04,163.4,164.17,119200500,161.78
8/28/2013,163.26,164.49,163.05,163.91,108113000,161.52
8/27/2013,164.36,166,163.21,163.33,158619400,160.95
8/26/2013,166.79,167.3,165.89,166,89702100,163.58
8/23/2013,166.55,166.83,165.77,166.62,90888900,164.19
8/22/2013,164.9,166.3,164.89,166.06,101471400,163.64
8/21/2013,165.12,166.03,164.19,164.56,159530500,162.16
8/20/2013,165.04,166.2,164.86,165.58,89294400,163.17
8/19/2013,165.64,166.21,164.76,164.77,96437600,162.37
8/16/2013,166.06,166.63,165.5,165.83,130868200,163.41
8/15/2013,167.41,167.43,166.09,166.38,152931800,163.96
8/14/2013,169.53,169.8,168.7,168.74,79829200,166.28
8/13/2013,169.41,169.9,168.41,169.61,80806000,167.14
8/12/2013,168.46,169.31,168.38,169.11,68593300,166.65
8/9/2013,169.58,170.1,168.72,169.31,91757700,166.84
8/8/2013,169.98,170.18,168.93,169.8,102181300,167.33
8/7/2013,169.19,169.43,168.55,169.18,84854700,166.71
8/6/2013,170.37,170.74,169.35,169.73,87495000,167.26
8/5/2013,170.57,170.96,170.35,170.7,54072700,168.21
8/2/2013,170.28,170.97,170.05,170.95,91116700,168.46
8/1/2013,169.99,170.81,169.9,170.66,110438400,168.17
7/31/2013,168.94,169.85,168.49,168.71,142388700,166.25
7/30/2013,169.1,169.28,168.19,168.59,85209600,166.13
7/29/2013,168.68,169.06,168.11,168.59,79695000,166.13
7/26/2013,168.22,169.16,167.52,169.11,107814600,166.65
7/25/2013,168.22,169.08,167.94,168.93,111088600,166.47
7/24/2013,169.79,169.86,168.18,168.52,112914000,166.06
7/23/2013,169.8,169.83,169.05,169.14,80829700,166.68
7/22/2013,169.41,169.74,169.01,169.5,79428600,167.03
7/19/2013,168.52,169.23,168.31,169.17,103831700,166.7
