Date,Open,High,Low,Close,Volume
1-Apr-14,92.35,92.58,92.32,92.51,145135
31-Mar-14,92.48,92.92,92.48,92.87,126075
28-Mar-14,92.63,92.69,92.52,92.64,50617
27-Mar-14,92.51,92.85,92.45,92.72,89078
26-Mar-14,92.41,92.51,92.34,92.43,119237
25-Mar-14,91.59,91.85,91.55,91.75,47009
24-Mar-14,91.36,91.61,91.25,91.38,103440
21-Mar-14,90.86,91.09,90.79,90.95,54951
20-Mar-14,90.37,90.58,90.26,90.46,121732
19-Mar-14,91.11,91.29,90.31,90.49,189161
18-Mar-14,91.15,91.41,91.15,91.3,98263
17-Mar-14,90.8,91.04,90.8,90.93,46775
14-Mar-14,90.27,90.54,90.27,90.34,50560
13-Mar-14,90.82,91.07,90.21,90.3,104118
12-Mar-14,89.6,89.97,89.53,89.96,20622
11-Mar-14,90.37,90.46,89.67,89.69,45712
10-Mar-14,90.41,90.41,90.17,90.23,40850
7-Mar-14,91.09,91.1,90.66,90.72,39472
6-Mar-14,90.67,91.16,90.65,90.9,120599
5-Mar-14,89.73,89.92,89.7,89.86,108331
4-Mar-14,89.56,89.56,89.39,89.5,33675
3-Mar-14,89.24,89.41,89.15,89.29,47878
28-Feb-14,89.56,89.6,89.29,89.34,92235
27-Feb-14,89.49,89.82,89.43,89.7,26959
26-Feb-14,89.86,89.91,89.55,89.76,91112
25-Feb-14,90.42,90.43,90.21,90.22,33770
24-Feb-14,89.97,90.57,89.97,90.44,65843
21-Feb-14,89.7,89.87,89.65,89.77,70400
20-Feb-14,89.69,90.29,89.66,90.21,55608
19-Feb-14,90.39,90.44,90.04,90.05,62338
18-Feb-14,90.47,90.53,90.35,90.37,59264
14-Feb-14,90.37,90.42,90.21,90.42,75780
13-Feb-14,89.68,89.98,89.68,89.94,44606
12-Feb-14,90.49,90.57,90.27,90.32,67895
11-Feb-14,90.15,90.5,90.11,90.41,89987
10-Feb-14,89.41,89.53,89.37,89.51,30792
7-Feb-14,89.56,89.69,89.48,89.62,65065
6-Feb-14,89.68,89.82,89.6,89.62,79284
5-Feb-14,89.15,90.05,88.99,89.14,112226
4-Feb-14,89.18,89.42,88.99,89.33,119625
3-Feb-14,88.03,88.46,87.5,87.51,144485
31-Jan-14,87.16,87.67,87.15,87.62,102473
30-Jan-14,88.01,88.03,87.7,87.97,105651
29-Jan-14,87.56,87.84,87.39,87.45,90734
28-Jan-14,88.01,88.01,87.77,87.84,106844
