Date,Open,High,Low,Close,Volume
1-Apr-14,163.84,163.96,163.72,163.81,17934
31-Mar-14,163.71,164.24,163.71,164.17,14010
28-Mar-14,163.82,163.91,163.69,163.9,14327
27-Mar-14,163.72,163.92,163.56,163.58,26696
26-Mar-14,162.98,163.42,162.91,163.39,15209
25-Mar-14,162.68,162.96,162.56,162.76,30248
24-Mar-14,162.35,162.84,162.24,162.49,35824
21-Mar-14,162.52,162.52,162.36,162.43,8904
20-Mar-14,162.55,162.63,162.35,162.51,13722
19-Mar-14,163.67,163.95,162.59,162.81,25618
18-Mar-14,163.35,163.43,163.03,163.39,21779
17-Mar-14,163.63,164.12,163.63,163.82,6042
14-Mar-14,163.57,163.86,163.57,163.86,18521
13-Mar-14,164.34,164.51,163.62,163.65,27304
12-Mar-14,163.64,163.74,163.51,163.7,23728
11-Mar-14,163.73,163.9,163.68,163.68,7823
10-Mar-14,163.78,163.97,163.78,163.9,11740
7-Mar-14,164.84,164.84,164.65,164.74,10170
6-Mar-14,164.58,165.24,164.58,164.87,61539
5-Mar-14,164.55,164.85,164.55,164.67,233030
4-Mar-14,164.44,164.44,164.01,164.19,8055
3-Mar-14,164.71,164.85,164.05,164.08,41808
28-Feb-14,164.66,165.13,164.5,164.94,52542
27-Feb-14,164.22,164.49,164.06,164.38,16763
26-Feb-14,164.04,164.16,163.77,164.16,13143
25-Feb-14,164.65,164.78,163.94,164.18,77251
24-Feb-14,163.58,164.19,163.4,164.07,26275
21-Feb-14,164.32,164.72,163.73,163.9,113497
20-Feb-14,164.28,164.3,163.79,164.08,33832
19-Feb-14,164.33,164.75,164.26,164.35,21953
18-Feb-14,164.63,164.72,164.28,164.28,22639
14-Feb-14,164.65,164.99,164.65,164.98,10364
13-Feb-14,164,164.12,163.79,164.09,22564
12-Feb-14,163.1,163.5,163.1,163.45,43570
11-Feb-14,161.97,162.43,161.97,162.07,49935
10-Feb-14,161.58,161.81,161.47,161.63,29743
7-Feb-14,161.41,161.75,161.37,161.74,26423
6-Feb-14,160.85,161.02,160.79,160.87,15546
5-Feb-14,160.45,160.88,160.25,160.71,26159
4-Feb-14,160.63,160.86,160.51,160.86,14228
3-Feb-14,161.03,161.25,160.52,160.66,32274
31-Jan-14,162.26,162.27,161.93,161.95,30867
30-Jan-14,162.66,162.74,162.32,162.34,40503
29-Jan-14,163.19,163.4,163.06,163.09,36927
28-Jan-14,163.58,163.58,163.2,163.38,91180
27-Jan-14,163.33,163.43,163.22,163.38,70890
24-Jan-14,162.81,162.81,162.42,162.58,52261
23-Jan-14,163.62,163.9,163.61,163.86,65285
22-Jan-14,163.18,163.43,163.12,163.37,146142
21-Jan-14,162.32,162.43,162.17,162.31,41443
17-Jan-14,162.01,162.07,161.68,161.7,32888
16-Jan-14,161.29,161.36,160.87,161.2,69575
15-Jan-14,161.04,161.4,160.84,161.34,29075
14-Jan-14,161.89,162.2,161.82,162.05,21224
13-Jan-14,161.28,161.58,161.27,161.58,24370
10-Jan-14,162.21,162.7,162.21,162.44,26595
9-Jan-14,162.22,162.45,162.17,162.42,8983
8-Jan-14,162.13,162.32,161.99,162.15,20718
7-Jan-14,161.53,161.91,161.4,161.69,23944
6-Jan-14,161.64,161.95,161.59,161.62,15453
3-Jan-14,161.71,162.07,161.68,161.7,26324
2-Jan-14,162.36,162.36,161.84,162.03,63800
31-Dec-13,163.03,163.38,162.98,163.3,19829
30-Dec-13,162.48,162.89,162.46,162.67,14056
27-Dec-13,162.8,162.89,162.24,162.32,35610
26-Dec-13,161.78,161.99,161.78,161.79,8262
24-Dec-13,161.32,161.4,161.26,161.4,1658
23-Dec-13,160.99,161.3,160.98,161.21,53272
20-Dec-13,161.14,161.5,160.93,161.1,42309
19-Dec-13,161.12,161.55,161.06,161.38,82685
18-Dec-13,161.42,162.47,160.07,161.58,86429
17-Dec-13,160.45,160.47,159.9,160.31,34847
16-Dec-13,160.71,160.93,160.63,160.72,25362
13-Dec-13,160.45,160.67,160.38,160.65,92434
12-Dec-13,161.27,161.37,160.91,161.18,32852
11-Dec-13,161.67,161.75,161.11,161.46,39973
10-Dec-13,162.07,162.2,161.92,162.15,38895
9-Dec-13,161.43,161.99,161.41,161.95,32154
6-Dec-13,161.32,161.48,160.92,161.11,25977
5-Dec-13,161.14,161.15,160.72,161.04,83117
4-Dec-13,160.96,161.7,160.96,161.49,39451
3-Dec-13,161.64,161.91,161.52,161.56,10614
2-Dec-13,161.37,161.44,161.19,161.23,54523
29-Nov-13,161.06,161.52,160.96,161.3,15929
27-Nov-13,160.69,160.69,160.32,160.48,13626
26-Nov-13,159.24,159.85,159.23,159.83,7332
25-Nov-13,159.39,159.43,159.05,159.26,65839
22-Nov-13,159.65,159.9,159.59,159.9,23556
21-Nov-13,158.98,159.48,158.98,159.48,3928
20-Nov-13,159.41,159.49,158.63,158.79,28662
19-Nov-13,158.73,159,158.73,159,12582
18-Nov-13,158.9,159.02,158.57,158.8,38135
15-Nov-13,158.91,158.93,158.7,158.9,35269
14-Nov-13,158.6,158.72,158.32,158.39,9508
13-Nov-13,157.56,158.17,157.43,158.05,18045
12-Nov-13,156.9,157.2,156.65,156.86,19655
11-Nov-13,157.64,157.64,157.49,157.64,7420
8-Nov-13,157.92,157.93,157.36,157.93,20737
7-Nov-13,158.08,158.84,157.93,158.53,36685
6-Nov-13,158.71,158.81,158.47,158.6,14487
5-Nov-13,158.18,158.27,158.02,158.24,11551
4-Nov-13,157.42,157.56,157.28,157.56,4873
1-Nov-13,157.44,157.44,156.93,157.01,58600
31-Oct-13,158.36,158.4,158.1,158.1,57246
