Date,Open,High,Low,Close,Volume
1-Apr-14,90.04,90.24,89.97,90.13,58111
31-Mar-14,90.22,90.3,89.94,89.98,36016
28-Mar-14,90.03,90.07,89.79,89.91,26148
27-Mar-14,89.76,90.22,89.76,90.16,58290
26-Mar-14,89.04,89.75,89.03,89.73,152178
25-Mar-14,88.95,89.15,88.86,89.13,42177
24-Mar-14,88.65,88.89,88.6,88.81,38286
21-Mar-14,88.89,88.89,88.62,88.71,50353
20-Mar-14,88.27,88.52,88.2,88.44,104617
19-Mar-14,88.96,89.14,88.22,88.41,160892
18-Mar-14,89.99,90.02,89.21,89.29,117093
17-Mar-14,89.75,90.01,89.75,89.96,24005
14-Mar-14,89.66,89.77,89.56,89.61,37377
13-Mar-14,89.9,90,89.82,89.95,50121
12-Mar-14,89.33,89.62,89.22,89.44,65698
11-Mar-14,89.56,89.79,89.51,89.56,33252
10-Mar-14,89.55,89.6,89.49,89.56,62319
7-Mar-14,89.78,89.79,89.58,89.65,58291
6-Mar-14,90.44,90.75,90.42,90.47,72401
5-Mar-14,89.75,90.15,89.53,90.08,203636
4-Mar-14,89.84,89.84,89.43,89.59,30985
3-Mar-14,89.73,89.77,89.6,89.73,20117
28-Feb-14,89.67,90.06,89.62,89.8,56709
27-Feb-14,89.31,89.31,89.14,89.28,25548
26-Feb-14,89.63,89.64,89.22,89.35,67566
25-Feb-14,89.81,89.82,89.62,89.7,59244
24-Feb-14,89.77,89.95,89.71,89.87,33342
21-Feb-14,89.19,89.49,89.15,89.32,106644
20-Feb-14,89.72,89.83,89.47,89.6,89894
19-Feb-14,90.3,90.33,89.7,89.72,138054
18-Feb-14,90.72,90.89,90.64,90.83,60699
14-Feb-14,90.58,90.67,90.5,90.53,24409
13-Feb-14,90.27,90.78,90.27,90.58,68312
12-Feb-14,90.48,90.52,90.38,90.43,57029
11-Feb-14,89.87,90.36,89.86,90.28,182602
10-Feb-14,89.95,90.09,89.93,89.94,54512
7-Feb-14,90.43,90.56,90.06,90.08,90172
6-Feb-14,89.5,89.92,89.48,89.82,73194
5-Feb-14,89.53,89.91,89.43,89.73,70487
4-Feb-14,89.76,89.95,89.67,89.76,68297
3-Feb-14,89.94,90.02,89.5,89.6,83444
31-Jan-14,88.73,89.65,88.7,89.27,112432
30-Jan-14,89.09,89.18,88.96,89.05,65635
29-Jan-14,89.39,89.42,88.97,88.98,66606
28-Jan-14,89.05,89.22,89.02,89.12,95455
27-Jan-14,90.06,90.09,89.46,89.46,154846
24-Jan-14,89.75,89.9,89.65,89.8,129707
23-Jan-14,89.38,89.62,89.05,89.59,246519
22-Jan-14,90.65,90.69,89.66,89.67,391762
21-Jan-14,90.67,90.68,90.52,90.62,120945
17-Jan-14,90.78,90.84,90.53,90.59,123437
16-Jan-14,91.1,91.17,90.96,91.01,117718
15-Jan-14,90.79,91.04,90.72,90.83,110013
14-Jan-14,91.13,91.16,90.75,90.81,161423
13-Jan-14,91.39,91.69,91.37,91.68,98450
10-Jan-14,90.93,91.35,90.86,91.2,197725
9-Jan-14,91.59,91.7,91.43,91.61,227695
8-Jan-14,92.02,92.12,91.9,92.02,133736
7-Jan-14,92.76,92.83,92.22,92.29,285365
6-Jan-14,93.13,93.44,93.13,93.34,29880
3-Jan-14,93.61,93.74,93.44,93.44,76126
2-Jan-14,93.71,93.86,93.12,93.14,74972
31-Dec-13,93.56,93.65,93.43,93.61,72328
30-Dec-13,92.96,93.47,92.96,93.47,59504
27-Dec-13,93.22,93.22,92.76,92.88,117056
26-Dec-13,93.59,93.61,93.36,93.43,35303
24-Dec-13,93.6,93.73,93.54,93.59,54627
23-Dec-13,93.79,93.96,93.68,93.7,189650
20-Dec-13,92.94,93.38,92.77,93.37,99806
19-Dec-13,92.93,93.25,92.91,93.22,77016
18-Dec-13,93.43,93.71,92.91,93.01,125467
17-Dec-13,93.86,93.86,93.67,93.71,44216
16-Dec-13,93.9,94.06,93.89,93.91,28658
13-Dec-13,93.47,93.91,93.43,93.83,56577
