Date,Open,High,Low,Close,Volume
1-Apr-14,94.38,94.38,94.08,94.1,131612
31-Mar-14,94.34,94.82,94.34,94.53,269688
28-Mar-14,95.28,95.28,94.76,94.9,280110
27-Mar-14,95.39,95.68,95.38,95.52,196728
26-Mar-14,95.32,95.75,95.27,95.69,113189
25-Mar-14,95.3,95.48,95.19,95.43,133769
24-Mar-14,95.27,95.56,95.23,95.51,113659
21-Mar-14,95.31,95.61,95.31,95.56,145042
20-Mar-14,95.36,95.39,95.19,95.27,92342
19-Mar-14,96.1,96.45,94.93,95.22,304235
18-Mar-14,96.19,96.37,96.06,96.26,163096
17-Mar-14,95.89,96.08,95.8,95.94,110816
14-Mar-14,96.32,96.43,96.1,96.36,199465
13-Mar-14,94.99,96.11,94.97,96.07,1217962
12-Mar-14,95.06,95.16,94.89,95.04,227653
11-Mar-14,94.47,94.89,94.47,94.77,135146
10-Mar-14,94.41,94.61,94.41,94.56,115401
7-Mar-14,94.21,94.65,94.18,94.47,162496
6-Mar-14,94.63,94.84,94.61,94.74,173060
5-Mar-14,95.23,95.48,95.2,95.44,102634
4-Mar-14,95.77,95.8,95.44,95.45,222518
3-Mar-14,96.23,96.35,96.13,96.3,358013
28-Feb-14,95.7,96,95.42,95.92,166809
27-Feb-14,95.63,95.75,95.5,95.59,251046
26-Feb-14,95.53,95.59,95.11,95.34,86706
25-Feb-14,95.38,95.69,95.38,95.55,200070
24-Feb-14,95.29,95.32,95.15,95.27,93837
21-Feb-14,95.05,95.23,94.97,95.17,131506
20-Feb-14,95.45,95.66,95.32,95.45,142630
19-Feb-14,95.68,95.68,95.3,95.5,80552
18-Feb-14,95.37,95.49,95.31,95.38,97996
14-Feb-14,95.89,95.96,95.77,95.91,43426
13-Feb-14,95.96,95.96,95.41,95.5,175970
12-Feb-14,95.36,95.37,95.14,95.27,37208
11-Feb-14,95.53,95.53,95.08,95.12,81764
10-Feb-14,95.51,95.71,95.48,95.54,63352
7-Feb-14,95.31,95.62,95.24,95.47,85241
6-Feb-14,96.19,96.19,95.57,95.6,70190
5-Feb-14,96.42,96.53,96.1,96.3,139567
4-Feb-14,96.3,96.4,96.03,96.04,174256
3-Feb-14,95.93,96.87,95.82,96.7,424162
31-Jan-14,95.46,95.74,95.35,95.58,188370
30-Jan-14,95.04,95.23,94.91,95.03,182183
29-Jan-14,95.63,95.89,95.46,95.56,353597
28-Jan-14,95.17,95.17,94.81,94.98,124843
27-Jan-14,95.11,95.55,95.01,95.16,254064
24-Jan-14,95.42,95.65,95.27,95.52,785901
23-Jan-14,94.18,94.83,94.12,94.68,640163
22-Jan-14,93.5,93.7,93.45,93.47,240380
21-Jan-14,93.49,93.89,93.47,93.57,549083
17-Jan-14,93.61,93.72,93.57,93.69,229673
16-Jan-14,93.66,93.78,93.51,93.65,178142
15-Jan-14,93.5,93.59,93.29,93.37,186311
14-Jan-14,94.19,94.31,93.69,93.74,511334
13-Jan-14,94.73,94.97,94.49,94.91,445658
10-Jan-14,93.39,94.07,93.39,93.89,277153
9-Jan-14,93.15,93.4,93.08,93.21,167686
8-Jan-14,93.18,93.28,93,93.25,167317
7-Jan-14,93.48,93.62,93.28,93.42,135439
6-Jan-14,93.21,94,93.17,93.78,287403
3-Jan-14,93.64,93.66,93.2,93.22,267062
2-Jan-14,93.1,93.43,93.01,93.25,286556
31-Dec-13,93.08,93.12,92.75,92.76,260345
30-Dec-13,92.87,93.06,92.86,92.98,282986
27-Dec-13,93.05,93.17,92.88,92.88,353132
26-Dec-13,93.22,93.33,93.18,93.26,203082
24-Dec-13,93.67,93.8,93.61,93.8,57957
23-Dec-13,93.95,93.96,93.83,93.87,372827
20-Dec-13,93.54,94.04,93.51,93.87,625268
19-Dec-13,93.83,93.95,93.69,93.72,259868
