Date,Open,High,Low,Close,Volume
1-Apr-14,123.71,123.85,123.11,123.39,5998286
31-Mar-14,124.52,124.79,123.57,123.61,12379151
28-Mar-14,124.23,124.96,123.88,124.56,7253673
27-Mar-14,125.06,125.29,124.21,124.59,7315310
26-Mar-14,126.27,126.38,125.13,125.41,8581634
25-Mar-14,126.44,126.82,126.24,126.41,6567962
24-Mar-14,126.87,127.14,126.03,126.18,13076493
21-Mar-14,129.04,129.09,128.41,128.47,7246489
20-Mar-14,127.78,128.41,127.58,127.86,7690848
19-Mar-14,129.55,129.68,127.94,128.09,12932862
18-Mar-14,130.39,131.27,130.33,130.62,6424385
17-Mar-14,132.73,133.22,131.22,131.64,14630110
14-Mar-14,133.68,133.69,132.35,133.1,11949426
13-Mar-14,131.69,132.54,131.56,132.21,8007721
12-Mar-14,131.56,132.12,131.39,131.76,11107630
11-Mar-14,130.01,130.15,128.93,129.86,7295113
10-Mar-14,128.88,129.61,128.78,129.13,4170499
7-Mar-14,128.25,129.23,128.21,129.09,7577498
6-Mar-14,129.71,130.47,129.47,130.17,5417902
5-Mar-14,128.71,129.34,128.58,128.89,4880728
4-Mar-14,128.54,129.24,128.32,128.68,6350420
3-Mar-14,130,130.59,129.81,130.29,11785006
28-Feb-14,128.27,128.35,127.15,127.62,10588738
27-Feb-14,128.4,128.8,127.89,128.2,5067646
26-Feb-14,128.49,128.76,127.42,128.11,7057157
25-Feb-14,128.62,129.53,128.57,129.21,5787114
24-Feb-14,128.51,129.07,128.34,128.99,12116210
21-Feb-14,127.57,128.07,127.15,127.58,7306796
20-Feb-14,126.75,127.75,126.4,127.6,10578232
19-Feb-14,127.26,127.45,126.16,126.27,9390584
18-Feb-14,127.42,127.75,127.09,127.4,7690800
14-Feb-14,126.99,127.38,126.75,127.15,11180946
13-Feb-14,124.7,125.6,124.66,125.49,9263314
12-Feb-14,124.4,124.98,124.13,124.43,6654131
11-Feb-14,123.38,124.75,123.36,124.36,11558005
10-Feb-14,122.8,123.16,122.72,122.92,7937659
7-Feb-14,121.24,122.24,121.23,122.17,6683018
6-Feb-14,121.38,121.51,120.78,121.24,4748431
5-Feb-14,121.76,121.88,120.73,121.29,6801879
4-Feb-14,120.41,121.09,120.39,120.99,7029192
3-Feb-14,120.47,122.11,120.32,121.32,9270176
31-Jan-14,120.65,120.86,119.46,120.09,7984890
30-Jan-14,119.67,120.22,119.6,119.77,8752038
29-Jan-14,122.19,122.51,121.13,122.47,12262531
28-Jan-14,121.32,121.4,120.41,120.95,5156327
27-Jan-14,121.65,122.06,120.72,120.96,7533917
24-Jan-14,122.06,122.5,121.55,122.29,8540453
23-Jan-14,120.97,122.02,120.97,121.79,11038741
22-Jan-14,119.65,119.77,119.17,119.19,4898314
21-Jan-14,119.23,119.97,119.23,119.7,6765085
17-Jan-14,120.35,121.02,120.2,120.93,7926430
16-Jan-14,119.84,119.96,119.57,119.79,3950105
15-Jan-14,119.19,119.81,119.11,119.66,5476409
14-Jan-14,120.54,121.06,119.72,119.89,7506301
13-Jan-14,120.27,121.04,120.2,121.02,5877632
10-Jan-14,119.72,120.43,119.58,120.26,7994809
9-Jan-14,118.11,118.69,117.99,118.46,3972991
8-Jan-14,117.99,118.52,117.5,118.12,7432317
7-Jan-14,118.46,118.92,118.13,118.82,6435823
6-Jan-14,119.76,120.39,117.11,119.5,10107731
3-Jan-14,118.64,119.62,118.59,119.29,5879119
2-Jan-14,117.93,118.73,117.75,118,7570508
31-Dec-13,114.61,117.13,114.46,116.12,12838233
30-Dec-13,116.37,116.4,115.18,115.39,6713023
27-Dec-13,117.31,117.38,116.85,117.12,4207991
26-Dec-13,117.23,117.23,116.65,116.74,3868528
24-Dec-13,115.79,116.29,115.71,116.1,3353940
23-Dec-13,115.61,116.12,115.43,115.57,6244146
20-Dec-13,115.38,116.47,115.06,115.94,14697716
19-Dec-13,115.95,116.06,114.5,114.82,15984757
18-Dec-13,119,120.05,117.29,117.61,16265046
17-Dec-13,118.97,119.9,118.37,118.65,8589144
16-Dec-13,119.25,120.77,118.97,119.69,8193324
13-Dec-13,118.9,119.49,118.76,119.38,6484891
12-Dec-13,118.59,118.82,118.03,118.29,8810811
11-Dec-13,121.49,121.81,120.76,120.86,9934908
10-Dec-13,122.18,122.32,121.47,121.82,9164469
9-Dec-13,118.99,119.92,118.95,119.72,5510392
6-Dec-13,118.86,119.26,118.01,118.55,7910040
5-Dec-13,118.2,119.24,117.41,118.3,10254676
4-Dec-13,118.33,120.76,118.16,119.96,9110691
3-Dec-13,117.58,118.31,117.23,117.96,7004847
2-Dec-13,119.2,119.29,117.5,117.58,10297128
29-Nov-13,120.67,121.05,120.62,120.7,2364671
27-Nov-13,120.49,120.69,119.25,119.46,6144568
26-Nov-13,119.84,120.4,119.59,119.82,9053320
25-Nov-13,119.18,121,119.13,120.46,7271846
22-Nov-13,120.24,120.4,119.82,119.92,6776461
21-Nov-13,119.81,120.35,119.31,119.94,7562937
20-Nov-13,121.67,122.44,119.76,120.12,14281010
19-Nov-13,122.97,123.4,122.83,122.95,3666451
18-Nov-13,123.7,123.96,122.55,122.9,6241279
15-Nov-13,124.16,124.52,124.07,124.32,4664240
14-Nov-13,123.92,124.91,123.88,124.27,7669667
13-Nov-13,122.97,123.24,122.39,122.85,5966976
12-Nov-13,123.51,123.87,121.73,122.45,7705623
11-Nov-13,123.92,123.97,123.66,123.87,3277698
8-Nov-13,124.46,124.46,123.62,124.28,8427259
7-Nov-13,126.14,126.85,125.86,126.16,7700172
6-Nov-13,127.11,127.36,126.92,127.2,3544927
5-Nov-13,126.71,126.86,126,126.56,4942373
4-Nov-13,127.18,127.52,126.74,126.81,3819272
1-Nov-13,126.86,127.17,126.05,126.95,9571847
31-Oct-13,128.04,128.49,127.3,127.74,7753276
30-Oct-13,130.83,131.22,128.81,129.6,8895989
29-Oct-13,130.16,130.59,129.57,129.77,5334537
28-Oct-13,130.41,131.44,130.1,130.56,6817414
25-Oct-13,129.53,130.92,129.46,130.46,8771039
24-Oct-13,129.41,130.53,129.41,129.9,10225798
23-Oct-13,128.55,129.09,128.35,128.69,5099155
22-Oct-13,128.25,129.81,128.22,129.34,8852593
21-Oct-13,127.13,127.34,126.79,126.98,3395173
18-Oct-13,126.87,127.33,126.6,126.85,5350480
17-Oct-13,127.01,127.86,126.81,127.42,11785088
16-Oct-13,123.52,123.89,122.51,123.54,8525277
15-Oct-13,122.28,124.36,122.22,123.73,8384160
14-Oct-13,123.9,124.24,122.81,122.83,6118213
11-Oct-13,122.37,122.81,121.85,122.6,15972630
10-Oct-13,125.34,125.83,124.1,124.27,10523560
9-Oct-13,126.21,126.89,124.97,126.11,10707749
8-Oct-13,127.79,128.45,127.21,127.4,6999743
7-Oct-13,127.25,128.33,127.12,127.64,6737848
4-Oct-13,127.05,127.15,126,126.53,6924926
3-Oct-13,126.77,127.69,126.22,127.18,11632916
2-Oct-13,125.37,127.81,125.34,127.06,11997201
1-Oct-13,125.25,125.26,123.81,124.59,16721143
30-Sep-13,127.95,129.14,127.7,128.18,8982403
27-Sep-13,128.86,129.58,128.84,128.97,7454162
26-Sep-13,128.61,128.99,127.32,127.79,9492821
25-Sep-13,127.57,129.21,127.52,128.79,7519080
24-Sep-13,126.4,128.21,126.34,127.66,7350109
23-Sep-13,127.52,128.44,127.33,127.55,7425634
20-Sep-13,130.6,130.91,127.9,127.96,19558103
19-Sep-13,132,132.78,131.22,131.75,14353863
18-Sep-13,125.32,132.16,125.15,132.01,24825331
17-Sep-13,126.81,126.99,126.11,126.5,8135454
16-Sep-13,127.48,128.02,126.34,126.45,9987682
13-Sep-13,127.16,127.96,126.21,127.82,12060317
12-Sep-13,128.62,128.78,127.61,127.67,12943984
11-Sep-13,131.58,131.81,131.26,131.7,5028303
10-Sep-13,131.82,132,131.11,131.74,8433006
9-Sep-13,134.13,134.32,133.67,133.91,5090471
6-Sep-13,133.42,134.4,133.33,134.15,8449142
5-Sep-13,134.13,134.35,131.8,132.2,11126269
4-Sep-13,134.61,134.84,133.72,134.66,7789181
3-Sep-13,135.46,136.79,135.02,136.42,8101531
30-Aug-13,134.65,135.71,134.44,134.62,7689483
29-Aug-13,136.12,136.55,135.42,135.87,7943156
28-Aug-13,137.21,137.46,136.66,136.71,13652143
27-Aug-13,136.94,137.55,136.52,136.75,11283235
26-Aug-13,134.88,135.6,134.15,135.45,7692077
23-Aug-13,132.58,135.24,132.5,134.9,11623318
22-Aug-13,132.56,133.46,132.27,132.81,5742699
21-Aug-13,131.74,133.23,131.51,132.07,10726614
20-Aug-13,132.03,133.13,132.02,132.45,7809099
19-Aug-13,132.33,132.5,131.59,132.01,8120303
16-Aug-13,132.56,133.27,131.39,132.58,14447036
15-Aug-13,128.06,132.36,127.98,131.69,17226250
14-Aug-13,127.66,129.07,127.57,129,8713159
13-Aug-13,128.49,128.65,127.38,127.74,7339540
12-Aug-13,129.57,129.71,128.88,129.13,7422561
9-Aug-13,126.51,127.27,126.3,126.86,6194029
8-Aug-13,124.78,126.99,124.77,126.86,8661287
7-Aug-13,124,124.6,123.85,124.15,5306329
6-Aug-13,124.33,124.55,123.55,123.97,6021417
5-Aug-13,126.51,126.64,125.34,125.7,4007090
2-Aug-13,126.74,127.25,126.32,126.36,6466232
1-Aug-13,127.84,127.89,126.33,126.61,10564258
31-Jul-13,127.76,128.92,126.13,127.96,16016251
30-Jul-13,127.95,128.31,127.22,128.12,4489261
29-Jul-13,128.45,128.78,128.25,128.47,3558052
26-Jul-13,128.11,128.97,126.78,128.78,6149386
25-Jul-13,127.7,128.87,127.64,128.67,4725104
24-Jul-13,129.17,129.4,126.87,127.48,9979036
23-Jul-13,128.7,130.14,128.35,129.71,8826014
22-Jul-13,127.65,129.46,127.59,128.84,10858299
19-Jul-13,124.89,125.42,124.65,125.11,5768261
18-Jul-13,124.11,124.52,123.78,124.01,6152047
17-Jul-13,125.04,125.7,122.73,123.32,10887041
16-Jul-13,124.76,125.21,124.33,124.89,5579678
15-Jul-13,124.08,124.39,123.84,124.18,4134878
